scenario_mode,load_level,rb_budget_ratio,seed,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6231884057971014,0.2516815266697951,0.43318154609154014,2,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6557971014492754,0.10779910167415249,0.029477324800865658,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.5688405797101449,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6557971014492754,0.2693122282911604,0.17815999890575454,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.018189270892042805,0.20374076522192616,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5217391304347826,0.0132712204105953,0.10740938907191078,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.9021739130434783,0.8021662949984072,0.7185130905731028,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6847826086956522,0.3809425595545014,0.5570382215248555,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6485507246376812,0.29894207604483086,0.24018013962430937,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5434782608695652,0.09148858352056004,0.1017421951293781,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5427579678131902,0.464230753916021,2,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6557971014492754,0.31339687860060755,0.41598267668578476,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5443873807776963,0.545228008856072,2,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,1.0,1.0,0.9999999999999998,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.6702898550724637,0.30611117250524916,0.25738704533861456,3,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.6413043478260869,0.28011381599747076,0.2468806078647383,3,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.48188405797101447,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5362318840579711,0.08281842255568823,0.1084308061831109,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.4311594202898551,-0.03200914547013428,0.14269544691936234,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.4492753623188406,0.0027100271002710352,0.16393196136689914,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5362318840579711,0.07343684431389,0.14711173840806036,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.4492753623188406,0.001380623661033102,0.12014284214923994,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5036231884057971,0.0951469321336269,0.22995219327548863,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5362318840579711,0.06967925422657605,0.27187871100119787,2,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.6557971014492754,0.2903540110425463,0.18294556251241018,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5144927536231884,0.01737605611350226,0.24432386822522256,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5652173913043478,0.1352028826570579,0.1895747800703501,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.6195652173913043,0.2574561853028595,0.4472132308901389,2,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5905797101449275,0.1909307875894988,0.36274063190805944,2,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.7101449275362319,0.42089802769618123,0.35267252304960084,2,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.7101449275362319,0.42089802769618123,0.3526725230496008,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.782608695652174,0.5684578099755042,0.6312762357190597,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.967391304347826,0.9347071811586584,0.9130879669135884,3,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5144927536231884,0.020498967106308677,0.07075915957388433,3,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.532608695652174,0.07058577842748259,0.09883113296088117,3,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5108695652173914,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5362318840579711,0.06613798572561456,0.04747917708892419,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5905797101449275,0.1531443466927338,0.20627482504912945,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5108695652173914,-0.018366677599212886,0.10443272365893506,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.6086956521739131,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.8405797101449275,0.6490984743411928,0.5789802078541973,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5652173913043478,0.10722950024260071,0.15130243922011316,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5362318840579711,0.0015261997625911719,0.1453396020958848,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.7608695652173914,0.511504424778761,0.3938487013623144,3,2
