scenario_mode,load_level,rb_budget_ratio,seed,feature_mode,feature_label,method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,kmax
aligned,heavy,0.1,17,full,full feature,LE-GRA MVP,0.6315029194384435,3519.791666666667,57.54938271604938,46.93055555555556,1.0,0.0,2.9208333333333334,0.825,0.14291666666666666,0.934268837268007,1.25,3
aligned,heavy,0.1,23,history_only,CQI/history only,LE-GRA MVP,0.6438021424275693,3880.2083333333335,61.514362874779536,51.73611111111111,0.9937499999999998,0.00625,3.0992753623188403,0.835,0.14291666666666666,0.9379426333567004,1.5,3
aligned,heavy,0.1,23,history_cost,+ resource-cost,LE-GRA MVP,0.6432346660577583,3875.0,61.537081128747786,51.66666666666667,0.9958333333333332,0.004166666666666668,3.0833333333333335,0.8299999999999998,0.1454166666666667,0.9339340078604913,1.45,3
aligned,heavy,0.1,23,full,full feature,LE-GRA MVP,0.6479394536490226,3797.499999999999,61.11457231040564,50.63333333333334,1.0,0.0,3.0541666666666663,0.825,0.14875000000000002,0.9324011698724528,1.4,3
ambiguous,light,0.5,9,history_only,CQI/history only,LE-GRA MVP,0.7697151619440217,5984.687499999999,30.910914847730982,15.95916666666667,1.0,0.0,4.15,0.682,0.2270833333333333,0.8818443705137202,2.3,3
ambiguous,light,0.5,9,history_cost,+ resource-cost,LE-GRA MVP,0.7751303926404736,5909.791666666666,30.144078175838068,15.759444444444446,1.0,0.0,4.1104166666666675,0.725,0.22166666666666662,0.8995193158322202,2.35,3
ambiguous,light,0.5,9,full,full feature,LE-GRA MVP,0.7808000190344861,5903.020833333333,28.445266357361596,15.741388888888888,1.0,0.0,4.097916666666667,0.7049999999999998,0.215,0.899474123315241,2.25,3
ambiguous,light,0.5,17,history_only,CQI/history only,LE-GRA MVP,0.8263976977555426,6326.5625,42.374245934525696,16.87083333333333,1.0,0.0,4.379166666666667,0.553,0.1966666666666667,0.9460367266659494,2.0,3
ambiguous,light,0.5,17,history_cost,+ resource-cost,LE-GRA MVP,0.8293176523397584,6456.770833333333,36.64379626955159,17.218055555555555,1.0,0.0,4.397916666666667,0.6120000000000001,0.19708333333333333,0.940347468702049,2.25,3
ambiguous,light,0.5,17,full,full feature,LE-GRA MVP,0.8277006416904846,6430.416666666666,41.54692367481185,17.14777777777778,1.0,0.0,4.433333333333334,0.567,0.20000000000000004,0.934711915996617,2.05,3
ambiguous,light,0.5,23,history_only,CQI/history only,LE-GRA MVP,0.8246091023135502,6326.041666666666,37.24106853512901,16.869444444444444,1.0,0.0,4.385416666666666,0.624,0.2041666666666667,0.9279195941113276,2.45,3
ambiguous,light,0.5,23,history_cost,+ resource-cost,LE-GRA MVP,0.8415453308561777,6546.874999999999,39.84446659003531,17.458333333333336,1.0,0.0,4.468750000000001,0.6020000000000001,0.2033333333333333,0.9546643158797445,2.35,3
ambiguous,light,0.5,23,full,full feature,LE-GRA MVP,0.8385360395962997,6628.020833333334,46.20767861937698,17.674722222222222,1.0,0.0,4.535416666666666,0.557,0.21583333333333332,0.954609329167176,2.05,3
ambiguous,medium,0.25,9,history_only,CQI/history only,LE-GRA MVP,0.708888110105572,5388.020833333334,41.26906528981816,28.736111111111114,1.0,0.0,3.8458333333333337,0.806,0.21791666666666668,0.8690930384601812,1.65,3
ambiguous,medium,0.25,9,history_cost,+ resource-cost,LE-GRA MVP,0.7042293500174227,5448.4375,40.550618231189425,29.05833333333333,1.0,0.0,3.8583333333333334,0.8200000000000001,0.22374999999999998,0.8513175401644938,1.85,3
ambiguous,medium,0.25,9,full,full feature,LE-GRA MVP,0.7100225113418596,5377.8125,38.30869127965195,28.681666666666672,1.0,0.0,3.81875,0.8320000000000001,0.21583333333333332,0.8671258456549058,1.85,3
ambiguous,medium,0.25,17,history_only,CQI/history only,LE-GRA MVP,0.7919757750705724,6187.604166666666,49.395566410358605,33.00055555555555,1.0,0.0,4.277083333333333,0.766,0.19708333333333336,0.9124837581642613,1.7,3
ambiguous,medium,0.25,17,history_cost,+ resource-cost,LE-GRA MVP,0.7923873801530068,6202.187500000001,53.85431897014521,33.07833333333333,1.0,0.0,4.28125,0.728,0.19875000000000004,0.9155945925820401,1.6,3
ambiguous,medium,0.25,17,full,full feature,LE-GRA MVP,0.7893315866035562,6105.416666666666,47.188317099567094,32.56222222222222,1.0,0.0,4.239583333333333,0.782,0.19208333333333336,0.9208370832856341,1.75,3
ambiguous,medium,0.25,23,history_only,CQI/history only,LE-GRA MVP,0.7994681434863955,6132.916666666666,49.59210334577628,32.70888888888889,1.0,0.0,4.245833333333334,0.758,0.19208333333333333,0.9316807762093111,1.85,3
ambiguous,medium,0.25,23,history_cost,+ resource-cost,LE-GRA MVP,0.8130975629437479,6323.854166666667,48.63065844293592,33.72722222222222,1.0,0.0,4.35,0.7819999999999999,0.19208333333333333,0.9246655795476935,1.85,3
ambiguous,medium,0.25,23,full,full feature,LE-GRA MVP,0.8077312642529832,6310.9375,58.851414402058595,33.65833333333333,1.0,0.0,4.347916666666666,0.702,0.20083333333333328,0.9239162867683792,1.65,3
ambiguous,heavy,0.1,9,history_only,CQI/history only,LE-GRA MVP,0.49229553665189413,2776.979166666667,44.26184964726632,37.02638888888889,0.9979166666666668,0.0020833333333333316,2.5158514492753623,0.845,0.22708333333333336,0.8645360744123514,1.5,3
ambiguous,heavy,0.1,9,history_cost,+ resource-cost,LE-GRA MVP,0.4807043106269999,2696.666666666667,42.97352843915344,35.95555555555556,1.0,0.0,2.4625,0.85,0.23708333333333337,0.8982824546386544,1.5,3
ambiguous,heavy,0.1,9,full,full feature,LE-GRA MVP,0.4930327433467882,2705.625,42.95219356261022,36.075,1.0,0.0,2.4875,0.8649999999999999,0.23125,0.8842352052127544,1.6,3
ambiguous,heavy,0.1,17,history_only,CQI/history only,LE-GRA MVP,0.5994843258056209,3551.5625,57.22233245149912,47.35416666666667,1.0,0.0,2.939583333333333,0.845,0.21375000000000002,0.9292830170347246,1.35,3
ambiguous,heavy,0.1,17,history_cost,+ resource-cost,LE-GRA MVP,0.6041850767827002,3565.9375,57.514307760141094,47.545833333333334,1.0,0.0,2.9520833333333334,0.835,0.21125000000000002,0.9335854006509449,1.25,3
ambiguous,heavy,0.1,17,full,full feature,LE-GRA MVP,0.601760617085011,3571.979166666667,57.6342151675485,47.62638888888889,1.0,0.0,2.941666666666667,0.835,0.20916666666666667,0.910477608908223,1.35,3
ambiguous,heavy,0.1,23,history_only,CQI/history only,LE-GRA MVP,0.6392455228780997,3990.5208333333335,62.4971450617284,53.206944444444446,1.0,0.0,3.16875,0.835,0.1975,0.9286406705124804,1.3,3
ambiguous,heavy,0.1,23,history_cost,+ resource-cost,LE-GRA MVP,0.6461976917828667,3982.7083333333335,62.10936948853615,53.102777777777774,1.0,0.0,3.189583333333333,0.85,0.1991666666666667,0.9473092516625075,1.35,3
ambiguous,heavy,0.1,23,full,full feature,LE-GRA MVP,0.6381911916306,3988.125,62.28082010582011,53.17499999999999,1.0,0.0,3.1645833333333333,0.8550000000000001,0.19833333333333333,0.9096512039737851,1.4,3
