method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
Multi-feature k-means,0.6276110685266099,3501.1458333333335,57.51836419753086,46.68194444444445,1.0,0.0,2.9104166666666664,0.8100000000000002,0.14500000000000002,0.9485652114379775,1.2,aligned,heavy,0.1,3,17
Offline teacher,0.6527619962869206,3598.541666666667,58.428703703703704,47.980555555555554,0.9958333333333333,0.004166666666666663,3.009782608695652,0.8399999999999999,0.12708333333333335,0.9300097267812106,1.4,aligned,heavy,0.1,3,17
LE-GRA MVP,0.6354567841748744,3522.1875,57.580864197530865,46.962500000000006,1.0,0.0,2.93125,0.825,0.14083333333333337,0.9381641701852363,1.3,aligned,heavy,0.1,3,17
No grouping,0.5910631891259507,3642.5,59.160449735449745,48.56666666666667,1.0,0.0,2.9,0.78,0.18208333333333335,1.0,1.0,aligned,heavy,0.1,3,23
CQI k-means,0.6518405366157791,3900.000000000001,61.584744268077614,52.0,1.0,0.0,3.075,0.845,0.14458333333333334,0.8964260445064236,1.35,aligned,heavy,0.1,3,23
Resource-cost k-means,0.6456348030049152,3785.000000000001,60.76369047619047,50.46666666666666,0.99375,0.00625,3.0863095238095237,0.835,0.14500000000000002,0.9515971687477123,1.4,aligned,heavy,0.1,3,23
Multi-feature k-means,0.6423278449412972,3768.5416666666665,60.49362874779543,50.24722222222222,1.0,0.0,3.0395833333333333,0.835,0.15166666666666667,0.9468719963825535,1.4,aligned,heavy,0.1,3,23
Offline teacher,0.6709675634487616,4073.229166666667,62.72347883597884,54.30972222222223,0.99375,0.00625,3.1999094202898553,0.8800000000000001,0.12791666666666668,0.9184608564052812,1.45,aligned,heavy,0.1,3,23
LE-GRA MVP,0.6425992318055215,3757.916666666667,60.65136684303351,50.105555555555554,1.0,0.0,3.0333333333333337,0.825,0.15291666666666667,0.9382135691929433,1.45,aligned,heavy,0.1,3,23
No grouping,0.6898701289261754,5015.0,38.74544050090796,13.373333333333335,1.0,0.0,3.75,0.562,0.2579166666666667,1.0,1.0,ambiguous,light,0.5,3,9
CQI k-means,0.7663890556949391,5818.229166666666,28.009672616346858,15.515277777777778,1.0,0.0,4.05625,0.7020000000000001,0.21749999999999997,0.8828869416736265,2.55,ambiguous,light,0.5,3,9
Resource-cost k-means,0.7836850918479438,6137.8125,31.71507630481374,16.3675,1.0,0.0,4.233333333333333,0.746,0.2354166666666667,0.9100397780800199,2.35,ambiguous,light,0.5,3,9
Multi-feature k-means,0.7679277153559446,5794.374999999999,28.97976237151961,15.451666666666668,1.0,0.0,4.0791666666666675,0.689,0.22208333333333333,0.8831594572253744,2.3,ambiguous,light,0.5,3,9
Offline teacher,0.7929602354277356,5942.916666666666,21.246924827088367,15.847777777777775,1.0,0.0,4.137500000000001,0.817,0.20875,0.9071010431739795,3.0,ambiguous,light,0.5,3,9
