scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
22,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.017071486797714183,0.002535752581042437,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9016549356794177,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,train,13,0,0.12336111868205452,0
23,history_cost_quality,12,72,0.4166666666666667,9,14,5,0.01321197440290723,0.003273642505493277,2,2,1,2,0.016962231795992988,0.014243490695810435,-0.0027187411001825534,0.014243490695810435,0.016962231795992988,0.0,0.8333333333333334,0.4696969696969697,1.0,0.9086288984626597,0.8943854077668493,0.8916666666666667,0.9086288984626597,0.8916666666666667,train,13,0,0.14581185499422664,0
24,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.01538742569480131,0.0034722222222222238,2,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.4696969696969697,0.4696969696969697,0.4696969696969697,0.879078111650274,0.8790781116502738,0.8790781116502738,0.8790781116502738,0.8790781116502738,train,13,0,0.10121527777777828,0
25,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.01702237267836443,0.005787037037037035,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,train,13,0,0.10202546296296297,0
26,history_cost_quality,12,72,0.4166666666666667,9,12,3,0.00862680546874919,0.006944444444444444,3,1,1,1,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.8874114449836074,0.8874114449836071,0.8874114449836071,0.8874114449836071,0.8874114449836071,train,13,0,0.06243055555555605,0
27,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.01878980812019432,0.006547285010986554,2,2,1,3,0.021808583737705334,0.007269527912568408,-0.014539055825136926,-0.013203955478995555,0.021808583737705334,0.020473483391563962,0.5909090909090909,0.5909090909090909,0.7272727272727273,0.8718085837377054,0.864539055825137,0.8500000000000001,0.8513351003461415,0.8500000000000001,train,13,1,0.12519056267843584,0
28,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.014907159788859307,0.009021097956087902,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8624114449836072,0.8624114449836071,0.8624114449836071,0.8624114449836071,0.8624114449836071,train,13,0,0.08315738428463101,0
29,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.02122527268158674,0.00715556982677138,2,1,1,1,0.009988269012750961,0.009988269012750961,0.0,0.0,0.009988269012750961,0.009988269012750961,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8933216023460844,0.8833333333333334,0.8833333333333334,0.8833333333333334,0.8833333333333334,train,13,0,0.14497805471805963,0
30,history_cost_quality,12,72,0.4166666666666667,9,14,5,0.009643132523109561,0.005456070842488791,2,2,2,2,0.014539055825136815,0.014243490695810546,0.004550786812386076,0.0,0.00969270388342447,0.014243490695810546,0.8333333333333334,0.5151515151515151,0.8333333333333334,0.8978723891584702,0.8836288984626597,0.8881796852750458,0.8836288984626597,0.8833333333333334,train,13,1,0.1381861912997891,0
31,history_cost_quality,12,72,0.4166666666666667,9,13,4,0.010227404430410158,0.004629629629629629,3,2,2,2,0.012115879854280975,0.012115879854280864,0.004846351941712346,0.004846351941712346,0.007269527912568519,0.007269527912568519,0.6515151515151515,0.5909090909090909,0.5909090909090909,0.9037825465209476,0.8916666666666667,0.8965130186083791,0.8965130186083791,0.8916666666666666,train,13,1,0.11711989834341335,0
