load_level,seed,split,scenario_index,teacher_k,group_index,group_size
medium,17,test,10,2,1,23
medium,17,test,11,3,0,2
medium,17,test,11,3,1,20
medium,17,test,11,3,2,2
medium,17,test,12,2,0,14
medium,17,test,12,2,1,10
medium,17,test,13,3,0,18
medium,17,test,13,3,1,3
medium,17,test,13,3,2,3
medium,17,test,14,2,0,13
medium,17,test,14,2,1,11
medium,17,test,15,1,0,24
medium,17,test,16,3,0,3
medium,17,test,16,3,1,6
medium,17,test,16,3,2,15
medium,17,test,17,3,0,5
medium,17,test,17,3,1,16
medium,17,test,17,3,2,3
medium,17,test,18,2,0,10
medium,17,test,18,2,1,14
medium,17,test,19,2,0,17
medium,17,test,19,2,1,7
medium,23,train,0,2,0,15
medium,23,train,0,2,1,9
medium,23,train,1,3,0,14
medium,23,train,1,3,1,7
medium,23,train,1,3,2,3
medium,23,train,2,3,0,17
medium,23,train,2,3,1,4
medium,23,train,2,3,2,3
medium,23,train,3,3,0,20
medium,23,train,3,3,1,1
medium,23,train,3,3,2,3
medium,23,train,4,1,0,24
medium,23,train,5,2,0,1
medium,23,train,5,2,1,23
medium,23,train,6,2,0,13
medium,23,train,6,2,1,11
medium,23,train,7,3,0,8
medium,23,train,7,3,1,8
medium,23,train,7,3,2,8
medium,23,train,8,2,0,8
medium,23,train,8,2,1,16
medium,23,train,9,3,0,7
medium,23,train,9,3,1,12
medium,23,train,9,3,2,5
medium,23,train,10,3,0,1
medium,23,train,10,3,1,21
medium,23,train,10,3,2,2
medium,23,train,11,3,0,18
medium,23,train,11,3,1,2
medium,23,train,11,3,2,4
medium,23,train,12,2,0,16
medium,23,train,12,2,1,8
medium,23,train,13,2,0,1
medium,23,train,13,2,1,23
medium,23,train,14,3,0,12
medium,23,train,14,3,1,11
medium,23,train,14,3,2,1
medium,23,train,15,3,0,3
medium,23,train,15,3,1,19
medium,23,train,15,3,2,2
medium,23,train,16,3,0,22
medium,23,train,16,3,1,1
medium,23,train,16,3,2,1
medium,23,train,17,1,0,24
medium,23,train,18,3,0,7
medium,23,train,18,3,1,12
medium,23,train,18,3,2,5
