load_level,seed,split,scenario_index,dispersion,teacher_k,teacher_group_ids,teacher_utility,no_group_utility,teacher_gain_over_no_group,top1_top2_gap,near_optimal_within_0.001,near_optimal_within_0.005,candidate_count
light,17,train,2,mid,2,0|0|1|0|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1,0.8697695279125686,0.8625000000000002,0.007269527912568408,0.0,23,124,277
light,17,train,3,mid,2,1|0|1|1|1|0|1|0|0|0|0|1|1|1|0|1|1|0|1|1|0|1|1|1,0.847340486448088,0.8291666666666666,0.018173819781421408,0.0,23,105,277
light,17,train,4,mid,3,0|0|0|1|2|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.8558216023460844,0.841578111650274,0.014243490695810435,0.0012115879854279754,1,57,277
light,17,train,5,high,3,1|0|0|0|0|0|0|0|1|0|1|0|0|1|0|2|0|0|0|0|0|1|0|1,0.725377471444324,0.07494639978752514,0.6504310716567988,0.009932979431756972,1,1,277
light,17,train,6,low,3,0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2,0.9140071531147544,0.8958333333333334,0.018173819781421074,0.0012115879854279754,1,15,277
light,17,train,7,low,3,0|0|0|1|1|1|1|1|1|1|1|1|1|2|1|1|1|2|2|2|1|2|2|2,0.9121158798542809,0.9,0.012115879854280864,0.0012115879854279754,1,57,277
light,17,train,8,low,3,0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,0.9369680972896175,0.9333333333333332,0.0036347639562842593,0.0012115879854278644,1,277,277
light,17,train,9,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|1|2|2|2|2|2|2|2,0.9690898426375228,0.9666666666666667,0.002423175970856173,0.0012115879854280864,1,277,277
light,17,train,10,mid,3,2|0|2|2|2|1|1|1|2|1|1|2|1|1|1|2|2|2|2|2|2|2|2|1,0.8515071531147544,0.8333333333333334,0.018173819781421074,0.0012115879854279754,1,88,277
light,17,train,11,high,3,1|0|0|1|2|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|2|1,0.7013431662260615,0.43510305835915436,0.26624010786690716,9.540588399570282e-05,2,2,277
light,17,train,12,high,2,0|0|1|1|0|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|1|0,0.61867164013475,0.44760305835915437,0.17106858177559559,0.007060838111553225,1,1,277
light,17,train,13,high,2,1|1|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1,0.7992317597085616,0.7874114449836073,0.011820314724954373,0.0012115879854280864,1,5,277
light,17,train,14,mid,3,2|2|2|0|2|2|2|2|2|2|2|0|2|0|2|2|2|0|2|2|1|2|2|2,0.8320331903315124,0.8249114449836071,0.007121745347905217,0.0012115879854279754,1,33,277
light,17,train,15,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2,0.9215130186083789,0.9166666666666666,0.004846351941712235,0.0,2,277,277
light,17,train,16,mid,3,2|2|0|2|1|1|0|0|0|0|0|0|2|2|1|0|1|1|1|2|1|2|1|1,0.8650709585355193,0.8541666666666666,0.010904291868852667,0.0012115879854279754,1,15,277
light,17,train,17,mid,3,1|0|1|1|1|1|1|1|1|2|2|1|1|2|1|2|2|1|1|1|1|1|1|1,0.8739361945792353,0.8666666666666666,0.007269527912568741,0.0012115879854281975,1,102,277
light,17,train,18,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2,0.871513018608379,0.8666666666666666,0.004846351941712457,0.0012115879854279754,1,277,277
light,17,train,19,mid,3,0|2|0|2|1|1|1|1|1|1|1|1|2|1|2|2|1|1|1|2|1|1|2|1,0.8942376252021861,0.8833333333333333,0.010904291868852778,0.0012115879854280864,1,69,277
light,17,train,20,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|1|2,0.8768912732604738,0.8708333333333332,0.006057939927140543,0.0,2,86,277
light,17,train,21,low,3,2|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|1|0|2|2|1|2|1|2,0.9078014306229508,0.9041666666666667,0.0036347639562841483,0.0012115879854279754,1,277,277
light,17,train,22,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|2|1|1,0.9203014306229509,0.9166666666666666,0.0036347639562842593,0.0012115879854279754,1,277,277
light,17,train,23,mid,3,2|0|0|2|2|0|0|2|1|2|2|0|2|0|0|2|2|2|1|2|1|2|2|1,0.8825650930418948,0.8624114449836072,0.020153648058287565,0.0012115879854280864,1,15,277
light,17,train,24,high,3,0|2|0|0|1|0|1|1|2|1|0|0|0|2|1|0|1|0|0|0|0|0|0|1,0.6223328126797426,0.451769725025821,0.17056308765392159,0.00034421198801259933,2,2,277
light,17,train,25,low,3,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2,0.8994680972896177,0.8958333333333334,0.0036347639562843703,2.220446049250313e-16,3,277,277
light,17,train,26,high,2,0|1|0|1|1|0|0|1|0|0|0|0|0|0|1|0|0|0|1|0|0|1|0|0,0.6744117766625862,0.4101030583591543,0.26430871830343194,0.007367638551595723,1,1,277
light,17,train,27,high,3,1|0|1|1|1|0|1|2|0|1|1|0|1|0|0|0|1|0|0|0|1|1|0|1,0.6395979069485017,0.4226030583591543,0.21699484858934742,0.004637662140696941,1,2,277
