method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
Offline teacher,0.7322796242075484,5344.375,30.087266074304114,28.50333333333333,1.0,0.0,3.8250000000000006,0.9640000000000001,0.2004166666666667,0.8691491410041037,2.3,ambiguous,medium,0.25,3,9
LE-GRA MVP,0.6978427126913729,5302.291666666666,37.8146195754554,28.27888888888889,1.0,0.0,3.7937499999999993,0.8260000000000002,0.22249999999999998,0.8589360797917139,1.7,ambiguous,medium,0.25,3,9
No grouping,0.7295439324707109,5857.5,56.23652001593179,31.24,1.0,0.0,4.1,0.59,0.23583333333333334,1.0,1.0,ambiguous,medium,0.25,3,17
CQI k-means,0.7942391246381366,6083.541666666666,46.01845919485608,32.44555555555555,1.0,0.0,4.2,0.8119999999999999,0.18166666666666667,0.8890861410617117,1.85,ambiguous,medium,0.25,3,17
Resource-cost k-means,0.7931520634391441,6221.666666666667,53.693716577540116,33.18222222222222,1.0,0.0,4.333333333333333,0.72,0.20916666666666667,0.9413649867842502,1.55,ambiguous,medium,0.25,3,17
Offline teacher,0.8084963415834139,6000.104166666667,34.16523327624973,32.00055555555556,1.0,0.0,4.199999999999999,0.9560000000000001,0.17333333333333334,0.9264286902631902,2.4,ambiguous,medium,0.25,3,17
LE-GRA MVP,0.7846246632106763,6229.791666666666,53.1240398089407,33.22555555555555,1.0,0.0,4.314583333333333,0.716,0.20708333333333334,0.9138787422287044,1.45,ambiguous,medium,0.25,3,17
No grouping,0.7243355991373773,5857.5,59.90760084142437,31.24,1.0,0.0,4.1,0.5459999999999999,0.24625,1.0,1.0,ambiguous,medium,0.25,3,23
CQI k-means,0.7996569821478724,6419.895833333334,55.24664840205088,34.239444444444445,1.0,0.0,4.389583333333333,0.7180000000000001,0.20999999999999996,0.8985010490734192,1.55,ambiguous,medium,0.25,3,23
Resource-cost k-means,0.8088328258388253,6413.645833333333,59.408148578711234,34.206111111111106,1.0,0.0,4.410416666666667,0.668,0.21583333333333332,0.9548875877169992,1.45,ambiguous,medium,0.25,3,23
Offline teacher,0.820808586911286,6212.187499999999,34.290277429685325,33.13166666666666,1.0,0.0,4.285416666666667,0.976,0.18166666666666664,0.9358960283521413,2.55,ambiguous,medium,0.25,3,23
LE-GRA MVP,0.8069476173798773,6511.666666666666,56.50394090524012,34.72888888888889,1.0,0.0,4.439583333333333,0.72,0.20999999999999996,0.9089255078570145,1.55,ambiguous,medium,0.25,3,23
No grouping,0.34791070304616456,2430.0,40.12433862433862,32.4,1.0,0.0,2.1,0.7099999999999999,0.30625,1.0,1.0,ambiguous,heavy,0.1,3,9
CQI k-means,0.49285456383560716,2779.479166666667,43.99085097001763,37.05972222222222,1.0,0.0,2.5083333333333333,0.86,0.23125000000000004,0.8544321056818116,1.45,ambiguous,heavy,0.1,3,9
Resource-cost k-means,0.46024782343637627,2627.5,42.169477513227505,35.03333333333333,0.9979166666666668,0.0020833333333333316,2.4264492753623186,0.8399999999999999,0.24833333333333335,0.9388699726513018,1.5,ambiguous,heavy,0.1,3,9
