dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
high,12,15,Multi-feature k-means,0.4490404160492571,1705.0,1.0,1.9,18.944444444444443
high,12,15,Offline teacher,0.46577941153241376,1874.0,1.0,2.0,20.822222222222223
high,12,16,No grouping,0.1291130664541918,550.0,1.0,1.0,6.111111111111111
high,12,16,CQI k-means,0.46230454434892193,1784.0,1.0,1.94,19.822222222222223
high,12,16,Resource-cost k-means,0.5063495325809454,2090.0,1.0,2.2,23.22222222222222
high,12,16,Multi-feature k-means,0.4545541899310424,2100.0,0.94,2.4893617021276597,23.333333333333332
high,12,16,Offline teacher,0.5581416899911736,2090.0,1.0,2.28,23.22222222222222
high,12,17,No grouping,0.1311130664541918,550.0,1.0,1.0,6.111111111111111
high,12,17,CQI k-means,0.39643001980113984,2442.0,1.0,1.88,27.133333333333333
high,12,17,Resource-cost k-means,0.4981526330065166,2055.0,1.0,2.2,22.833333333333332
high,12,17,Multi-feature k-means,0.45854813912573916,1980.0,0.96,2.375,22.0
high,12,17,Offline teacher,0.5164985703057877,2676.0,1.0,2.24,29.733333333333334
high,12,18,No grouping,0.12911306645419182,550.0,1.0,1.0,6.111111111111111
high,12,18,CQI k-means,0.42870948697461003,2142.0,1.0,1.88,23.8
high,12,18,Resource-cost k-means,0.45102892465881284,2160.0,1.0,2.1,24.0
high,12,18,Multi-feature k-means,0.37698656902168964,1292.0,1.0,1.68,14.355555555555556
high,12,18,Offline teacher,0.4813579699751482,2188.0,1.0,2.18,24.31111111111111
high,12,19,No grouping,0.1271130664541918,550.0,1.0,1.0,6.111111111111111
high,12,19,CQI k-means,0.44389204440905305,1762.0,1.0,1.88,19.57777777777778
high,12,19,Resource-cost k-means,0.4360852410971324,2104.0,1.0,2.04,23.377777777777776
high,12,19,Multi-feature k-means,0.4360852410971324,2104.0,1.0,2.04,23.377777777777776
high,12,19,Offline teacher,0.5020808144403411,2286.0,1.0,2.26,25.4
high,13,0,No grouping,0.1211130664541918,550.0,1.0,1.0,6.111111111111111
high,13,0,CQI k-means,0.4421178640193945,1589.0,1.0,1.92,17.655555555555555
high,13,0,Resource-cost k-means,0.4827433317298032,2160.0,1.0,2.2,24.0
high,13,0,Multi-feature k-means,0.4979557334320877,2020.0,1.0,2.2,22.444444444444443
high,13,0,Offline teacher,0.5206546383752222,2195.0,1.0,2.3,24.38888888888889
high,13,1,No grouping,0.12511306645419182,550.0,1.0,1.0,6.111111111111111
high,13,1,CQI k-means,0.4502313089702897,1630.0,1.0,1.94,18.11111111111111
high,13,1,Resource-cost k-means,0.4720444267866685,1985.0,1.0,2.1,22.055555555555557
high,13,1,Multi-feature k-means,0.5041856805989703,2930.0,1.0,2.28,32.55555555555556
high,13,1,Offline teacher,0.5259614047049435,2762.0,1.0,2.28,30.68888888888889
high,13,2,No grouping,0.13311306645419183,550.0,1.0,1.0,6.111111111111111
high,13,2,CQI k-means,0.41370293333871894,1579.0,1.0,1.84,17.544444444444444
high,13,2,Resource-cost k-means,0.4568799041285008,1971.0,1.0,2.06,21.9
high,13,2,Multi-feature k-means,0.4470225561329595,2706.0,1.0,2.12,30.066666666666666
high,13,2,Offline teacher,0.5001286934844581,2132.0,1.0,2.22,23.68888888888889
high,13,3,No grouping,0.12311306645419183,550.0,1.0,1.0,6.111111111111111
high,13,3,CQI k-means,0.4701295000767526,1814.0,1.0,1.96,20.155555555555555
high,13,3,Resource-cost k-means,0.4092240246893893,1344.0,1.0,1.76,14.933333333333334
high,13,3,Multi-feature k-means,0.38220936536421585,1537.0,1.0,1.72,17.07777777777778
high,13,3,Offline teacher,0.4965480508219249,1960.0,1.0,2.08,21.77777777777778
high,13,4,No grouping,0.11911306645419181,550.0,1.0,1.0,6.111111111111111
high,13,4,CQI k-means,0.4836251522710546,1714.0,1.0,2.04,19.044444444444444
high,13,4,Resource-cost k-means,0.5186306988531639,2272.0,1.0,2.32,25.244444444444444
high,13,4,Multi-feature k-means,0.5415106472420309,2694.0,1.0,2.36,29.933333333333334
high,13,4,Offline teacher,0.575264849963776,2405.0,1.0,2.5,26.72222222222222
high,13,5,No grouping,0.12711306645419185,550.0,1.0,1.0,6.111111111111111
high,13,5,CQI k-means,0.4154795444691841,1740.0,1.0,1.82,19.333333333333332
high,13,5,Resource-cost k-means,0.4530289246588128,2160.0,1.0,2.1,24.0
high,13,5,Multi-feature k-means,0.43345815472017324,1698.0,1.0,1.88,18.866666666666667
high,13,5,Offline teacher,0.49140584901926493,2034.0,1.0,2.14,22.6
high,13,6,No grouping,0.1111130664541918,550.0,1.0,1.0,6.111111111111111
high,13,6,CQI k-means,0.5168426768710936,2736.0,1.0,2.24,30.4
high,13,6,Resource-cost k-means,0.4958599753438539,2328.0,1.0,2.28,25.866666666666667
high,13,6,Multi-feature k-means,0.5088036589055343,2384.0,1.0,2.34,26.488888888888887
high,13,6,Offline teacher,0.5244098597566765,2314.0,1.0,2.34,25.711111111111112
high,13,7,No grouping,0.1111130664541918,550.0,1.0,1.0,6.111111111111111
high,13,7,CQI k-means,0.46980019654322397,1684.0,1.0,2.02,18.711111111111112
high,13,7,Resource-cost k-means,0.5297952215113315,2286.0,1.0,2.36,25.4
high,13,7,Multi-feature k-means,0.46993036729798676,3258.0,0.96,2.625,36.2
high,13,7,Offline teacher,0.5589103292806847,2176.0,1.0,2.36,24.177777777777777
high,13,8,No grouping,0.13511306645419183,550.0,1.0,1.0,6.111111111111111
high,13,8,CQI k-means,0.45611786401939447,1589.0,1.0,1.92,17.655555555555555
high,13,8,Resource-cost k-means,0.4869881103483488,2041.0,1.0,2.16,22.677777777777777
high,13,8,Multi-feature k-means,0.49459431119949115,1971.0,1.0,2.16,21.9
high,13,8,Offline teacher,0.5302368997043061,2202.0,1.0,2.32,24.466666666666665
high,13,9,No grouping,0.12511306645419182,550.0,1.0,1.0,6.111111111111111
high,13,9,CQI k-means,0.43028374252415347,3336.0,1.0,2.24,37.06666666666667
high,13,9,Resource-cost k-means,0.4804382259355262,2055.0,1.0,2.1,22.833333333333332
high,13,9,Multi-feature k-means,0.43363111477254374,1810.0,1.0,1.9,20.11111111111111
high,13,9,Offline teacher,0.5161047539623997,2209.0,1.0,2.24,24.544444444444444
high,13,10,No grouping,0.45193639169248767,1500.0,1.0,2.0,16.666666666666668
high,13,10,CQI k-means,0.5403459322809521,2775.0,1.0,2.48,30.833333333333332
high,13,10,Resource-cost k-means,0.57484711129286,2412.0,1.0,2.52,26.8
high,13,10,Multi-feature k-means,0.5659784752234769,2476.0,1.0,2.32,27.511111111111113
high,13,10,Offline teacher,0.5864807126725036,3064.0,1.0,2.56,34.044444444444444
high,13,11,No grouping,0.12511306645419182,550.0,1.0,1.0,6.111111111111111
high,13,11,CQI k-means,0.5045943111994912,1971.0,1.0,2.16,21.9
high,13,11,Resource-cost k-means,0.3851697483189613,1244.0,1.0,1.68,13.822222222222223
high,13,11,Multi-feature k-means,0.4637794115324138,1874.0,1.0,2.0,20.822222222222223
high,13,11,Offline teacher,0.5277109548135419,2139.0,1.0,2.24,23.766666666666666
high,13,12,No grouping,0.13311306645419183,550.0,1.0,1.0,6.111111111111111
high,13,12,CQI k-means,0.41774180667052796,2322.0,1.0,1.88,25.8
high,13,12,Resource-cost k-means,0.4081978739737718,1992.0,1.0,1.92,22.133333333333333
high,13,12,Multi-feature k-means,0.4081978739737718,1992.0,1.0,1.92,22.133333333333333
high,13,12,Offline teacher,0.43632336890353346,2434.0,1.0,1.96,27.044444444444444
high,13,13,No grouping,0.12311306645419179,550.0,1.0,1.0,6.111111111111111
high,13,13,CQI k-means,0.4508653047571589,3448.0,1.0,2.32,38.31111111111111
high,13,13,Resource-cost k-means,0.33363038552014035,1214.0,1.0,1.56,13.488888888888889
high,13,13,Multi-feature k-means,0.46196016008887897,1838.0,1.0,1.98,20.42222222222222
high,13,13,Offline teacher,0.4895788090716355,2146.0,1.0,2.16,23.844444444444445
high,13,14,No grouping,0.11911306645419181,550.0,1.0,1.0,6.111111111111111
high,13,14,CQI k-means,0.46436776553569464,2632.0,1.0,2.08,29.244444444444444
high,13,14,Resource-cost k-means,0.37163328181419536,1225.0,1.0,1.66,13.61111111111111
high,13,14,Multi-feature k-means,0.4669038436505593,1894.0,1.0,2.04,21.044444444444444
high,13,14,Offline teacher,0.4892089494448362,1999.0,1.0,2.14,22.211111111111112
high,13,15,No grouping,0.12311306645419179,550.0,1.0,1.0,6.111111111111111
high,13,15,CQI k-means,0.38925419041209125,1936.0,1.0,1.86,21.511111111111113
high,13,15,Resource-cost k-means,0.3720052256607937,1230.0,1.0,1.64,13.666666666666666
high,13,15,Multi-feature k-means,0.4458580334747918,2692.0,1.0,2.08,29.91111111111111
high,13,15,Offline teacher,0.4855788090716356,2146.0,1.0,2.16,23.844444444444445
high,13,16,No grouping,0.1411130664541918,550.0,1.0,1.0,6.111111111111111
high,13,16,CQI k-means,0.4001077313306565,2328.0,1.0,1.92,25.866666666666667
high,13,16,Resource-cost k-means,0.3967520096480451,1251.0,1.0,1.7,13.9
high,13,16,Multi-feature k-means,0.4764861049796432,1901.0,1.0,2.06,21.122222222222224
high,13,16,Offline teacher,0.4858475272122396,1950.0,1.0,2.1,21.666666666666668
high,13,17,No grouping,0.11111306645419182,550.0,1.0,1.0,6.111111111111111
high,13,17,CQI k-means,0.445148622269105,1775.0,1.0,2.0,19.72222222222222
high,13,17,Resource-cost k-means,0.3600510204851115,1218.0,1.0,1.64,13.533333333333333
high,13,17,Multi-feature k-means,0.4732328889668947,1922.0,1.0,2.12,21.355555555555554
high,13,17,Offline teacher,0.5166020210777299,3133.0,1.0,2.38,34.81111111111111
high,13,18,No grouping,0.11511306645419182,550.0,1.0,1.0,6.111111111111111
high,13,18,CQI k-means,0.5025943111994912,1971.0,1.0,2.16,21.9
high,13,18,Resource-cost k-means,0.5230723770461385,2188.0,1.0,2.28,24.31111111111111
high,13,18,Multi-feature k-means,0.5213171556646843,2069.0,1.0,2.24,22.988888888888887
high,13,18,Offline teacher,0.579511230434914,3483.0,1.0,2.66,38.7
high,13,19,No grouping,0.4479363916924878,1500.0,1.0,2.0,16.666666666666668
high,13,19,CQI k-means,0.5870934917639979,3490.0,1.0,2.68,38.77777777777778
high,13,19,Resource-cost k-means,0.5864657602756165,2720.0,1.0,2.7,30.22222222222222
high,13,19,Multi-feature k-means,0.5875278638200846,2215.0,1.0,2.44,24.61111111111111
high,13,19,Offline teacher,0.6390646600319,3726.0,1.0,2.84,41.4
high,14,0,No grouping,0.13311306645419183,550.0,1.0,1.0,6.111111111111111
high,14,0,CQI k-means,0.3783105068504109,1880.0,1.0,1.8,20.88888888888889
