scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
20,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.013007609311329646,0.006644768562225618,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.7207447783169405,0.7207447783169406,0.7207447783169406,0.7207447783169406,0.7207447783169406,train,9,0,0.001661192140556127,0
21,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.011318881637485031,0.005774162633910405,2,2,2,3,0.02349116113052141,0.0234911611305213,0.0,0.06585251938097969,0.0234911611305213,-0.04236135825045839,0.4696969696969697,0.4696969696969697,0.3484848484848485,0.5873420058812063,0.563850844750685,0.563850844750685,0.6297033641316647,0.5638508447506849,train,9,1,0.10956083302051567,0
22,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01002158580853437,0.00774252787052063,3,1,1,2,0.03607516473455474,0.03607516473455474,0.0,0.006911410968214571,0.03607516473455474,0.029163753766340172,0.4090909090909091,0.4090909090909091,0.7727272727272727,0.5915926761519064,0.5555175114173516,0.5555175114173516,0.5624289223855662,0.5555175114173516,train,9,1,0.09730710203017795,0
23,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.015329277444509128,0.006106900906607836,2,2,2,2,0.04756126359088031,0.0,0.0,-0.04064985262266574,0.0,0.04064985262266574,1.0,1.0,0.8333333333333334,0.6197454416748985,0.6197454416748985,0.6197454416748985,0.5790955890522328,0.5721841780840182,train,9,0,0.025307357022092115,0
24,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.013925010897587924,0.009402822227587912,1,1,1,3,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.03600034163861443,1.1102230246251565e-16,-0.03600034163861432,1.0,1.0,0.3333333333333333,0.5471841780840184,0.5471841780840183,0.5471841780840183,0.5831845197226327,0.5471841780840183,train,9,0,0.02935096178585808,0
25,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.013312980561711894,0.008229809645662582,2,2,2,2,0.0652389185008948,0.02916375376634006,0.02916375376634006,-0.029163753766340283,0.0,0.058327507532680345,0.8333333333333334,1.0,0.696969696969697,0.6374230965849131,0.6082593428185731,0.6374230965849131,0.5790955890522328,0.5721841780840183,train,9,1,0.12216817296088323,0
26,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014486869873085334,0.0070164095214017026,2,1,2,2,0.06523891850089492,0.06523891850089492,0.006911410968214571,0.006911410968214571,0.058327507532680345,0.058327507532680345,0.5151515151515151,0.696969696969697,0.696969696969697,0.6457564299182466,0.5805175114173516,0.5874289223855662,0.5874289223855662,0.5805175114173516,train,9,1,0.1769463678269632,1
27,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01187244024184345,0.007204803008095326,2,1,1,2,0.0652389185008948,0.0652389185008948,0.0,0.006911410968214571,0.0652389185008948,0.058327507532680234,0.5151515151515151,0.5151515151515151,0.696969696969697,0.6124230965849131,0.5471841780840183,0.5471841780840183,0.5540955890522329,0.5471841780840183,train,9,1,0.17008205523042177,1
28,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.011081332265698362,0.008564032747076816,1,2,2,2,1.1102230246251565e-16,-0.06523891850089492,-0.06523891850089492,-0.058327507532680345,0.0,-0.006911410968214571,0.5151515151515151,0.5909090909090909,0.45454545454545453,0.5471841780840183,0.6124230965849132,0.5471841780840183,0.5540955890522329,0.5471841780840182,train,9,0,-0.12833682881502056,0
29,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012362245347231572,0.007134738429362239,1,1,1,2,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.00691141096821446,-1.1102230246251565e-16,-0.006911410968214571,1.0,1.0,0.45454545454545453,0.5471841780840183,0.5471841780840184,0.5471841780840184,0.5540955890522329,0.5471841780840184,train,9,0,0.006967242833501127,0
