dispersion,seed,scenario_index,method,utility,adr_kbps
low,2,0,CQI k-means,0.9439480171844084,7035.333333333333
low,2,0,CQI k-means (k-means++),0.9439480171844084,7035.333333333333
low,2,0,Resource-cost k-means,0.936,7500.0
low,2,0,Resource-cost k-means (k-means++),0.9369692703883424,7443.333333333333
low,2,0,Multi-feature k-means,0.9451347868607654,6888.0
low,2,0,Multi-feature k-means (k-means++),0.9451347868607654,6888.0
low,2,0,CQI+resource-cost joint k-means (single clustering),0.9383101385130832,6979.333333333333
low,2,0,"CQI+resource-cost hybrid (paper method, union)",0.9439480171844084,7035.333333333333
low,2,0,CQI+cost+joint 3-way union,0.9439480171844084,7035.333333333333
low,2,1,No grouping,0.9313333333333335,7500.0
low,2,1,CQI k-means,0.9381182260517308,7103.333333333333
low,2,1,CQI k-means (k-means++),0.9381182260517308,7103.333333333333
low,2,1,Resource-cost k-means,0.9332718741100184,7386.666666666667
low,2,1,Resource-cost k-means (k-means++),0.9324964577993442,7432.0
low,2,1,Multi-feature k-means,0.9406383290614211,6956.0
low,2,1,Multi-feature k-means (k-means++),0.9400567668284157,6990.0
low,2,1,CQI+resource-cost joint k-means (single clustering),0.9347863329401006,6168.666666666667
low,2,1,"CQI+resource-cost hybrid (paper method, union)",0.9381182260517308,7103.333333333333
low,2,1,CQI+cost+joint 3-way union,0.9381182260517308,7103.333333333333
low,2,2,No grouping,0.9413333333333335,7500.0
low,2,2,CQI k-means,0.9492813505177418,7035.333333333333
low,2,2,CQI k-means (k-means++),0.9492813505177418,7035.333333333333
low,2,2,Resource-cost k-means,0.9413333333333335,7500.0
low,2,2,Resource-cost k-means (k-means++),0.94307802003235,7398.0
low,2,2,Multi-feature k-means,0.9519953076051008,6876.666666666667
low,2,2,Multi-feature k-means (k-means++),0.9519953076051008,6876.666666666667
low,2,2,CQI+resource-cost joint k-means (single clustering),0.94307802003235,7398.0
low,2,2,"CQI+resource-cost hybrid (paper method, union)",0.9492813505177418,7035.333333333333
low,2,2,CQI+cost+joint 3-way union,0.9492813505177418,7035.333333333333
low,2,3,No grouping,0.9253333333333336,7500.0
low,2,3,CQI k-means,0.9317305178963939,7126.0
low,2,3,CQI k-means (k-means++),0.9317305178963939,7126.0
low,2,3,Resource-cost k-means,0.926302603721676,7443.333333333333
low,2,3,Resource-cost k-means (k-means++),0.926302603721676,7443.333333333333
low,2,3,Multi-feature k-means,0.9365768698381061,6842.666666666667
low,2,3,Multi-feature k-means (k-means++),0.9365768698381061,6842.666666666667
low,2,3,CQI+resource-cost joint k-means (single clustering),0.9387880048356607,6148.666666666667
low,2,3,"CQI+resource-cost hybrid (paper method, union)",0.9317305178963939,7126.0
low,2,3,CQI+cost+joint 3-way union,0.9387880048356607,6148.666666666667
low,2,4,No grouping,0.9333333333333333,7500.0
low,2,4,CQI k-means,0.9414752045954102,7024.0
low,2,4,CQI k-means (k-means++),0.9414752045954102,7024.0
low,2,4,Resource-cost k-means,0.9333333333333333,7500.0
low,2,4,Resource-cost k-means (k-means++),0.934302603721676,7443.333333333333
low,2,4,Multi-feature k-means,0.9447707239157745,6831.333333333333
low,2,4,Multi-feature k-means (k-means++),0.9415539447386112,6454.666666666667
low,2,4,CQI+resource-cost joint k-means (single clustering),0.934302603721676,7443.333333333333
low,2,4,"CQI+resource-cost hybrid (paper method, union)",0.9414752045954102,7024.0
low,2,4,CQI+cost+joint 3-way union,0.9414752045954102,7024.0
low,2,5,No grouping,0.9313333333333335,7500.0
low,2,5,CQI k-means,0.9394752045954101,7024.0
low,2,5,CQI k-means (k-means++),0.9394752045954101,7024.0
low,2,5,Resource-cost k-means,0.9313333333333335,7500.0
low,2,5,Resource-cost k-means (k-means++),0.9324964577993444,7432.0
low,2,5,Multi-feature k-means,0.9419953076051008,6876.666666666667
low,2,5,Multi-feature k-means (k-means++),0.942189161682769,6865.333333333333
low,2,5,CQI+resource-cost joint k-means (single clustering),0.9381452531000961,6202.0
low,2,5,"CQI+resource-cost hybrid (paper method, union)",0.9394752045954101,7024.0
low,2,5,CQI+cost+joint 3-way union,0.9394752045954101,7024.0
low,2,6,No grouping,0.934666666666667,7500.0
low,2,6,CQI k-means,0.9428085379287434,7024.0
low,2,6,CQI k-means (k-means++),0.9428085379287434,7024.0
low,2,6,Resource-cost k-means,0.934666666666667,7500.0
low,2,6,Resource-cost k-means (k-means++),0.9362174992880148,7409.333333333333
low,2,6,Multi-feature k-means,0.9462979113267764,6820.0
low,2,6,Multi-feature k-means (k-means++),0.9462979113267764,6820.0
low,2,6,CQI+resource-cost joint k-means (single clustering),0.9423886089355286,6277.333333333333
low,2,6,"CQI+resource-cost hybrid (paper method, union)",0.9428085379287434,7024.0
low,2,6,CQI+cost+joint 3-way union,0.9428085379287434,7024.0
low,2,7,No grouping,0.9260000000000003,7500.0
low,2,7,CQI k-means,0.9339480171844083,7035.333333333333
low,2,7,CQI k-means (k-means++),0.9339480171844083,7035.333333333333
low,2,7,Resource-cost k-means,0.9260000000000003,7500.0
low,2,7,Resource-cost k-means (k-means++),0.9273569785436795,7420.666666666667
low,2,7,Multi-feature k-means,0.9362742661164303,6899.333333333333
low,2,7,Multi-feature k-means (k-means++),0.9362742661164303,6899.333333333333
low,2,7,CQI+resource-cost joint k-means (single clustering),0.9273569785436795,7420.666666666667
low,2,7,"CQI+resource-cost hybrid (paper method, union)",0.9339480171844083,7035.333333333333
low,2,7,CQI+cost+joint 3-way union,0.9339480171844083,7035.333333333333
low,2,8,No grouping,0.932,7500.0
low,2,8,CQI k-means,0.9403357253397454,7012.666666666667
low,2,8,CQI k-means (k-means++),0.9403357253397454,7012.666666666667
low,2,8,Resource-cost k-means,0.9335508326213483,7409.333333333333
low,2,8,Resource-cost k-means (k-means++),0.9335508326213483,7409.333333333333
low,2,8,Multi-feature k-means,0.9432435365047728,6842.666666666667
low,2,8,Multi-feature k-means (k-means++),0.9432435365047728,6842.666666666667
low,2,8,CQI+resource-cost joint k-means (single clustering),0.9335508326213483,7409.333333333333
low,2,8,"CQI+resource-cost hybrid (paper method, union)",0.9403357253397454,7012.666666666667
low,2,8,CQI+cost+joint 3-way union,0.9403357253397454,7012.666666666667
low,2,9,No grouping,0.9333333333333336,7500.0
low,2,9,CQI k-means,0.9401182260517307,7103.333333333333
low,2,9,CQI k-means (k-means++),0.9401182260517307,7103.333333333333
low,2,9,Resource-cost k-means,0.9341087496440075,7454.666666666667
low,2,9,Resource-cost k-means (k-means++),0.9344964577993443,7432.0
low,2,9,Multi-feature k-means,0.9416927038834247,6933.333333333333
low,2,9,Multi-feature k-means (k-means++),0.9416927038834247,6933.333333333333
low,2,9,CQI+resource-cost joint k-means (single clustering),0.9452015695384155,6292.0
low,2,9,"CQI+resource-cost hybrid (paper method, union)",0.9401182260517307,7103.333333333333
low,2,9,CQI+cost+joint 3-way union,0.9452015695384155,6292.0
low,2,10,No grouping,0.932,7500.0
low,2,10,CQI k-means,0.9399480171844083,7035.333333333333
low,2,10,CQI k-means (k-means++),0.9399480171844083,7035.333333333333
low,2,10,Resource-cost k-means,0.932,7500.0
low,2,10,Resource-cost k-means (k-means++),0.9337446866990166,7398.0
low,2,10,Multi-feature k-means,0.943437390582441,6831.333333333333
low,2,10,Multi-feature k-means (k-means++),0.943437390582441,6831.333333333333
low,2,10,CQI+resource-cost joint k-means (single clustering),0.9341323948543536,7375.333333333333
low,2,10,"CQI+resource-cost hybrid (paper method, union)",0.9399480171844083,7035.333333333333
low,2,10,CQI+cost+joint 3-way union,0.9399480171844083,7035.333333333333
low,2,11,No grouping,0.9220000000000003,7500.0
low,2,11,CQI k-means,0.9326619742717673,6876.666666666667
low,2,11,CQI k-means (k-means++),0.9326619742717673,6876.666666666667
low,2,11,Resource-cost k-means,0.9241323948543535,7375.333333333333
low,2,11,Resource-cost k-means (k-means++),0.9241323948543535,7375.333333333333
low,2,11,Multi-feature k-means,0.9324681201940989,6888.0
low,2,11,Multi-feature k-means (k-means++),0.9322742661164303,6899.333333333333
low,2,11,CQI+resource-cost joint k-means (single clustering),0.9241323948543535,7375.333333333333
low,2,11,"CQI+resource-cost hybrid (paper method, union)",0.9326619742717673,6876.666666666667
low,2,11,CQI+cost+joint 3-way union,0.9326619742717673,6876.666666666667
low,2,12,No grouping,0.9386666666666668,7500.0
low,2,12,CQI k-means,0.9563073877344993,6468.666666666667
low,2,12,CQI k-means (k-means++),0.9563073877344993,6468.666666666667
low,2,12,Resource-cost k-means,0.9386666666666668,7500.0
low,2,12,Resource-cost k-means (k-means++),0.9392482288996725,7466.0
low,2,12,Multi-feature k-means,0.9485532246277599,6922.0
low,2,12,Multi-feature k-means (k-means++),0.9483196149208065,6628.0
low,2,12,CQI+resource-cost joint k-means (single clustering),0.9501235495060657,6394.0
