dispersion,load,seed,step,is_warmup,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,groups
low,light,seed_0032,3,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,4,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,5,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,6,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,7,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,8,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,9,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,10,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,11,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,12,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,13,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,14,0,OptimalCutpoint_upperbound,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,medium,seed_0032,0,1,NoGrouping_single_group,3000.0,3000.0,1.0,3.0,66.66666666666667,1.0,0.6,1.0,3.0,0.0,1
