mode,dispersion,seed,scenario_index,method,utility
aligned,mid_v2,3,2,CQI+cost hybrid (2-way),0.7764697240384014
aligned,mid_v2,3,2,CQI+cost+RBprofile hybrid (3-way),0.7764697240384014
aligned,mid_v2,3,3,CQI k-means,0.7132538652694109
aligned,mid_v2,3,3,Multi-feature k-means,0.745592814332419
aligned,mid_v2,3,3,CQI+cost hybrid (2-way),0.7274186689764168
aligned,mid_v2,3,3,CQI+cost+RBprofile hybrid (3-way),0.7274186689764168
aligned,mid_v2,3,4,CQI k-means,0.6877110839388918
aligned,mid_v2,3,4,Multi-feature k-means,0.7200500330018997
aligned,mid_v2,3,4,CQI+cost hybrid (2-way),0.6962358357887394
aligned,mid_v2,3,4,CQI+cost+RBprofile hybrid (3-way),0.7200500330018997
aligned,mid_v2,3,5,CQI k-means,0.7221829233237064
aligned,mid_v2,3,5,Multi-feature k-means,0.7085871986027441
aligned,mid_v2,3,5,CQI+cost hybrid (2-way),0.748388982064908
aligned,mid_v2,3,5,CQI+cost+RBprofile hybrid (3-way),0.748388982064908
aligned,mid_v2,3,6,CQI k-means,0.6961491412708178
aligned,mid_v2,3,6,Multi-feature k-means,0.7359509247329818
aligned,mid_v2,3,6,CQI+cost hybrid (2-way),0.758339427930449
aligned,mid_v2,3,6,CQI+cost+RBprofile hybrid (3-way),0.758339427930449
aligned,mid_v2,3,7,CQI k-means,0.7069020437049791
aligned,mid_v2,3,7,Multi-feature k-means,0.6858874812640585
aligned,mid_v2,3,7,CQI+cost hybrid (2-way),0.7479764464075781
aligned,mid_v2,3,7,CQI+cost+RBprofile hybrid (3-way),0.7479764464075781
aligned,mid_v2,3,8,CQI k-means,0.709741476735796
aligned,mid_v2,3,8,Multi-feature k-means,0.7545184831307303
aligned,mid_v2,3,8,CQI+cost hybrid (2-way),0.7570060945971154
aligned,mid_v2,3,8,CQI+cost+RBprofile hybrid (3-way),0.7570060945971154
aligned,mid_v2,3,9,CQI k-means,0.7165871986027441
aligned,mid_v2,3,9,Multi-feature k-means,0.6785175114173516
aligned,mid_v2,3,9,CQI+cost hybrid (2-way),0.7165871986027441
aligned,mid_v2,3,9,CQI+cost+RBprofile hybrid (3-way),0.7165871986027441
aligned,mid_v2,3,10,CQI k-means,0.6965072516713807
aligned,mid_v2,3,10,Multi-feature k-means,0.7537223153982414
aligned,mid_v2,3,10,CQI+cost hybrid (2-way),0.6965072516713807
aligned,mid_v2,3,10,CQI+cost+RBprofile hybrid (3-way),0.7338214236671593
aligned,mid_v2,3,11,CQI k-means,0.7012538652694109
aligned,mid_v2,3,11,Multi-feature k-means,0.6839533654713918
aligned,mid_v2,3,11,CQI+cost hybrid (2-way),0.7317513032136719
aligned,mid_v2,3,11,CQI+cost+RBprofile hybrid (3-way),0.7317513032136719
aligned,mid_v2,3,12,CQI k-means,0.7245376444682851
aligned,mid_v2,3,12,Multi-feature k-means,0.7618518164640636
aligned,mid_v2,3,12,CQI+cost hybrid (2-way),0.8116040457917686
aligned,mid_v2,3,12,CQI+cost+RBprofile hybrid (3-way),0.8116040457917686
aligned,mid_v2,3,13,CQI k-means,0.6958405850047141
aligned,mid_v2,3,13,Multi-feature k-means,0.7406175913996484
aligned,mid_v2,3,13,CQI+cost hybrid (2-way),0.7087529344378548
aligned,mid_v2,3,13,CQI+cost+RBprofile hybrid (3-way),0.7232043111349516
aligned,mid_v2,3,14,CQI k-means,0.7371991696585699
aligned,mid_v2,3,14,Multi-feature k-means,0.7307560762413126
aligned,mid_v2,3,14,CQI+cost hybrid (2-way),0.7754163386561557
aligned,mid_v2,3,14,CQI+cost+RBprofile hybrid (3-way),0.7754163386561557
aligned,mid_v2,3,15,CQI k-means,0.7056119756699736
aligned,mid_v2,3,15,Multi-feature k-means,0.7354633132665965
aligned,mid_v2,3,15,CQI+cost hybrid (2-way),0.7302810274630308
aligned,mid_v2,3,15,CQI+cost+RBprofile hybrid (3-way),0.7302810274630308
aligned,mid_v2,3,16,CQI k-means,0.7177414767357961
aligned,mid_v2,3,16,Multi-feature k-means,0.6798508447506849
aligned,mid_v2,3,16,CQI+cost hybrid (2-way),0.7257522353417762
aligned,mid_v2,3,16,CQI+cost+RBprofile hybrid (3-way),0.7257522353417762
aligned,mid_v2,3,17,CQI k-means,0.7235128674010556
aligned,mid_v2,3,17,Multi-feature k-means,0.7023913123851693
aligned,mid_v2,3,17,CQI+cost hybrid (2-way),0.7669928858039888
aligned,mid_v2,3,17,CQI+cost+RBprofile hybrid (3-way),0.7669928858039888
aligned,mid_v2,3,18,CQI k-means,0.7119560048256166
aligned,mid_v2,3,18,Multi-feature k-means,0.760339427930449
aligned,mid_v2,3,18,CQI+cost hybrid (2-way),0.7488485858607793
aligned,mid_v2,3,18,CQI+cost+RBprofile hybrid (3-way),0.7488485858607793
aligned,mid_v2,3,19,CQI k-means,0.6831443900522002
aligned,mid_v2,3,19,Multi-feature k-means,0.6241080298667081
aligned,mid_v2,3,19,CQI+cost hybrid (2-way),0.7155583812641079
aligned,mid_v2,3,19,CQI+cost+RBprofile hybrid (3-way),0.7155583812641079
aligned,mid_v2,4,0,CQI k-means,0.7065053462207446
aligned,mid_v2,4,0,Multi-feature k-means,0.7286671455341075
aligned,mid_v2,4,0,CQI+cost hybrid (2-way),0.7511365277910425
aligned,mid_v2,4,0,CQI+cost+RBprofile hybrid (3-way),0.7511365277910425
aligned,mid_v2,4,1,CQI k-means,0.6943281964710993
aligned,mid_v2,4,1,Multi-feature k-means,0.6778508447506849
aligned,mid_v2,4,1,CQI+cost hybrid (2-way),0.7084193680724952
aligned,mid_v2,4,1,CQI+cost+RBprofile hybrid (3-way),0.7366175913996484
aligned,mid_v2,4,2,CQI k-means,0.7139205319360775
aligned,mid_v2,4,2,Multi-feature k-means,0.6731841780840183
aligned,mid_v2,4,2,CQI+cost hybrid (2-way),0.7394182029123647
aligned,mid_v2,4,2,CQI+cost+RBprofile hybrid (3-way),0.7394182029123647
aligned,mid_v2,4,3,CQI k-means,0.7044576975369217
aligned,mid_v2,4,3,Multi-feature k-means,0.7042852052686306
aligned,mid_v2,4,3,CQI+cost hybrid (2-way),0.7537508371496195
aligned,mid_v2,4,3,CQI+cost+RBprofile hybrid (3-way),0.7537508371496195
aligned,mid_v2,4,4,CQI k-means,0.7043101080894086
aligned,mid_v2,4,4,Multi-feature k-means,0.7545184831307304
aligned,mid_v2,4,4,CQI+cost hybrid (2-way),0.7868574321937386
aligned,mid_v2,4,4,CQI+cost+RBprofile hybrid (3-way),0.7868574321937386
aligned,mid_v2,4,5,CQI k-means,0.7378214236671593
aligned,mid_v2,4,5,Multi-feature k-means,0.7676727612637821
aligned,mid_v2,4,5,CQI+cost hybrid (2-way),0.8149373791251018
aligned,mid_v2,4,5,CQI+cost+RBprofile hybrid (3-way),0.8149373791251018
aligned,mid_v2,4,6,CQI k-means,0.721317427058213
aligned,mid_v2,4,6,Multi-feature k-means,0.740438536199367
aligned,mid_v2,4,6,CQI+cost hybrid (2-way),0.736502118177489
aligned,mid_v2,4,6,CQI+cost+RBprofile hybrid (3-way),0.736502118177489
aligned,mid_v2,4,7,CQI k-means,0.7144081434024627
aligned,mid_v2,4,7,Multi-feature k-means,0.6831841780840182
aligned,mid_v2,4,7,CQI+cost hybrid (2-way),0.7274186689764169
aligned,mid_v2,4,7,CQI+cost+RBprofile hybrid (3-way),0.749234703931856
aligned,mid_v2,4,8,CQI k-means,0.7144081434024627
aligned,mid_v2,4,8,Multi-feature k-means,0.7492347039318561
aligned,mid_v2,4,8,CQI+cost hybrid (2-way),0.7144081434024627
aligned,mid_v2,4,8,CQI+cost+RBprofile hybrid (3-way),0.7218709778016184
aligned,mid_v2,4,9,CQI k-means,0.6918508447506849
aligned,mid_v2,4,9,Multi-feature k-means,0.6918508447506849
aligned,mid_v2,4,9,CQI+cost hybrid (2-way),0.7018613937381826
aligned,mid_v2,4,9,CQI+cost+RBprofile hybrid (3-way),0.7307966465999298
aligned,mid_v2,4,10,CQI k-means,0.6863777506055585
aligned,mid_v2,4,10,Multi-feature k-means,0.683850844750685
aligned,mid_v2,4,10,CQI+cost hybrid (2-way),0.7167524683738024
aligned,mid_v2,4,10,CQI+cost+RBprofile hybrid (3-way),0.7167524683738024
aligned,mid_v2,4,11,CQI k-means,0.7455928143324188
aligned,mid_v2,4,11,Multi-feature k-means,0.7804193748618123
aligned,mid_v2,4,11,CQI+cost hybrid (2-way),0.7903698207273533
aligned,mid_v2,4,11,CQI+cost+RBprofile hybrid (3-way),0.7903698207273533
aligned,mid_v2,4,12,CQI k-means,0.7027467604398612
aligned,mid_v2,4,12,Multi-feature k-means,0.6281080298667081
aligned,mid_v2,4,12,CQI+cost hybrid (2-way),0.732556750039925
aligned,mid_v2,4,12,CQI+cost+RBprofile hybrid (3-way),0.732556750039925
aligned,mid_v2,4,13,CQI k-means,0.7238709778016182
aligned,mid_v2,4,13,Multi-feature k-means,0.6825175114173515
aligned,mid_v2,4,13,CQI+cost hybrid (2-way),0.7394182029123645
aligned,mid_v2,4,13,CQI+cost+RBprofile hybrid (3-way),0.7437718695327002
aligned,mid_v2,4,14,CQI k-means,0.7087662538030256
aligned,mid_v2,4,14,Multi-feature k-means,0.6551584855129107
aligned,mid_v2,4,14,CQI+cost hybrid (2-way),0.7473997552968805
aligned,mid_v2,4,14,CQI+cost+RBprofile hybrid (3-way),0.7473997552968805
aligned,mid_v2,4,15,CQI k-means,0.7222290882021813
aligned,mid_v2,4,15,Multi-feature k-means,0.7595432601979598
aligned,mid_v2,4,15,CQI+cost hybrid (2-way),0.7521858488934753
aligned,mid_v2,4,15,CQI+cost+RBprofile hybrid (3-way),0.7521858488934753
aligned,mid_v2,4,16,CQI k-means,0.7109453090033071
aligned,mid_v2,4,16,Multi-feature k-means,0.7631851497973969
aligned,mid_v2,4,16,CQI+cost hybrid (2-way),0.743141548207366
aligned,mid_v2,4,16,CQI+cost+RBprofile hybrid (3-way),0.7457718695327002
aligned,mid_v2,4,17,CQI k-means,0.7439509247329816
aligned,mid_v2,4,17,Multi-feature k-means,0.7937031540606866
aligned,mid_v2,4,17,CQI+cost hybrid (2-way),0.8160916572581537
aligned,mid_v2,4,17,CQI+cost+RBprofile hybrid (3-way),0.8160916572581537
aligned,mid_v2,4,18,CQI k-means,0.718537644468285
aligned,mid_v2,4,18,Multi-feature k-means,0.7619667608487716
aligned,mid_v2,4,18,CQI+cost hybrid (2-way),0.7804161056241297
aligned,mid_v2,4,18,CQI+cost+RBprofile hybrid (3-way),0.7804161056241297
aligned,mid_v2,4,19,CQI k-means,0.7311547570004927
aligned,mid_v2,4,19,Multi-feature k-means,0.7585184831307303
aligned,mid_v2,4,19,CQI+cost hybrid (2-way),0.7611115176917868
aligned,mid_v2,4,19,CQI+cost+RBprofile hybrid (3-way),0.7611115176917868
aligned,mid_v2,5,0,CQI k-means,0.6929948631377659
aligned,mid_v2,5,0,Multi-feature k-means,0.7377718695327004
aligned,mid_v2,5,0,CQI+cost hybrid (2-way),0.7170855686751096
aligned,mid_v2,5,0,CQI+cost+RBprofile hybrid (3-way),0.7170855686751096
aligned,mid_v2,5,1,CQI k-means,0.6951841780840183
aligned,mid_v2,5,1,Multi-feature k-means,0.736438536199367
aligned,mid_v2,5,1,CQI+cost hybrid (2-way),0.7407510701816459
aligned,mid_v2,5,1,CQI+cost+RBprofile hybrid (3-way),0.7407510701816459
aligned,mid_v2,5,2,CQI k-means,0.7125871986027441
aligned,mid_v2,5,2,Multi-feature k-means,0.6825175114173516
aligned,mid_v2,5,2,CQI+cost hybrid (2-way),0.7125871986027441
aligned,mid_v2,5,2,CQI+cost+RBprofile hybrid (3-way),0.7474137591321376
