dispersion,seed,scenario_index,fast_utility,multikey_utility,winning_key,No grouping,CQI k-means,Resource-cost k-means,Multi-feature k-means,LE-GRA MVP
high,18,7,0.3985338439724028,0.40418173849296285,cqi_then_cost,0.1331130664541918,0.3717048396570676,0.1331130664541918,0.33622029630942957,0.2933774353202209
high,18,8,0.43959627008523533,0.44330251269651855,cqi,0.12644639978752512,0.33389864135804115,0.3921978739737717,0.39219787397377176,0.3290991724637241
high,18,9,0.4445292742013248,0.4445292742013248,cost,0.11711306645419181,0.37187238915847026,0.33632289313696406,0.413141557535452,0.413141557535452
high,18,10,0.4561107132133438,0.4561107132133438,cost,0.1257797331208585,0.43563784824765056,0.17704287074270697,0.4138082242021187,0.3359675378501976
high,18,11,0.4642868504939966,0.46740732457152867,cqi,0.11444639978752515,0.40647552531628456,0.30435335390782436,0.4058457684943318,0.3645792249910152
high,18,12,0.4061978739737717,0.4061978739737718,cqi,0.1391130664541918,0.3523298987267142,0.33456706308797457,0.3892541904120913,0.40054997945321164
high,18,13,0.4123400422714293,0.41992958870126623,cqi,0.12111306645419181,0.3833923248395467,0.29486171679602463,0.3453668232887306,0.31169052095518396
high,18,14,0.40718676275462795,0.40718676275462795,cost,0.13044639978752515,0.35215485445454475,0.2527597147385756,0.34740436758094373,0.3812917347043044
high,18,15,0.4403140600343059,0.4403140600343059,cost,0.12911306645419182,0.393079780587421,0.301822140851408,0.40121664611987823,0.42945611872267886
high,18,16,0.439048316535116,0.44098996844439287,cqi,0.13177973312085847,0.4296941794032726,0.319020020574491,0.26917379902014016,0.3232727822842678
high,18,17,0.44785651705194124,0.44785651705194124,cost,0.11111306645419182,0.3636785350808018,0.40682699634822517,0.3765815799022329,0.3558844694250853
high,18,18,0.4420834466311454,0.4420834466311454,cost,0.11777973312085849,0.3996130105789384,0.3391926929750634,0.32210857853982344,0.4294185744304655
high,18,19,0.466695133771963,0.4678812410409713,cqi_then_cost,0.10511306645419181,0.4165627010354831,0.4064748908687853,0.4068571212449828,0.3995134531597457
high,19,0,0.43795240943487745,0.43795240943487745,cost,0.12244639978752514,0.40159220678042834,0.3025679594073079,0.3825975395836052,0.32579222288660953
high,19,1,0.43415291028610303,0.4366803307291309,cqi,0.12111306645419181,0.3482360232788791,0.3026392748871597,0.39806864358831345,0.34258868038396506
high,19,2,0.4392461815408966,0.4486003186727398,cqi,0.11844639978752515,0.4083568121997371,0.41777067990990574,0.40082699634822533,0.3322164658459481
high,19,3,0.43942324274816713,0.43942324274816713,cost,0.12377973312085847,0.40482763079572426,0.30968668724115767,0.3955332433045993,0.4339524094348774
high,19,4,0.41306102315861687,0.41888597888644746,cqi_then_cost,0.1371130664541918,0.40547147672877987,0.3424287822956876,0.2593150721469954,0.32939292985244095
high,19,5,0.41057545156942293,0.41816499799925977,cqi,0.12644639978752512,0.3116548898704557,0.2924888075180747,0.3356553315741885,0.3093023467357947
high,19,6,0.43820862253138104,0.44385651705194107,cqi,0.12177973312085849,0.3472908269254648,0.3343839529027214,0.3380497328024136,0.4345023799200978
high,19,7,0.46430281017536895,0.46726807834789,cqi,0.11577973312085846,0.41789603436881634,0.4031791018276651,0.3692917347043045,0.4482897913557154
high,19,8,0.44475455914639944,0.448714363471586,cqi_then_cost,0.13111306645419182,0.4166921477508691,0.35038581465340624,0.4148269963482253,0.3197641339873464
high,19,9,0.4270087258731971,0.4270087258731971,cost,0.13244639978752515,0.3136075353519245,0.3340406080762983,0.31183156164480974,0.338773450740503
high,19,10,0.4537586077339038,0.4537586077339038,cost,0.11777973312085849,0.361011868414135,0.3281044950240922,0.40064573754144545,0.42243734657657217
high,19,11,0.40357543685212055,0.40357543685212055,cost,0.13244639978752512,0.32251948669496877,0.16563038552014045,0.3048503337909163,0.3613292789965175
high,19,12,0.44869245994702195,0.4598330430831311,cqi_then_cost,0.11444639978752515,0.34776520468289185,0.341068711692864,0.34238559543483715,0.4158082242021187
high,19,13,0.4310483165351161,0.44969559132547954,cqi_then_cost,0.11977973312085846,0.3908048100621132,0.327716320804703,0.3932166461198783,0.3274401174071698
high,19,14,0.44845878482258145,0.4541066793431415,cqi,0.1331130664541918,0.42586720674034095,0.3307262631857743,0.337151850653219,0.3344325057970574
high,19,15,0.4825343029374834,0.48565477701501547,cqi,0.1071130664541918,0.40922936770214974,0.4014703255722009,0.3606250680376378,0.38296592365814064
high,19,16,0.4546251775830792,0.4546251775830792,cost,0.1157797331208585,0.3681609346944528,0.42773313561769244,0.400902645377882,0.43338103013825263
high,19,17,0.4383836668035505,0.4383836668035505,cost,0.12111306645419184,0.40202346414910134,0.32787083196978095,0.32810857853982345,0.3479220137172984
high,19,18,0.4134936630148919,0.413493663014892,cqi,0.13777973312085848,0.33140701896354385,0.2870763222955083,0.3344231397270503,0.313367979927271
high,19,19,0.44226495368700314,0.44226495368700314,cost,0.1257797331208585,0.4288504515293353,0.4065124351609984,0.3500334899553973,0.4178082242021186
high,20,0,0.4243004810441151,0.42624213295339186,cqi,0.13044639978752515,0.28773999430411684,0.3242561790071336,0.26145229146741766,0.3250991724637241
high,20,1,0.4520299426575601,0.4589913803665998,cqi_then_cost,0.12577973312085844,0.35484434185482255,0.4081603296815586,0.4025124351609985,0.4363998022843591
high,20,2,0.4155982575857316,0.41912743898974436,cqi_then_cost,0.12511306645419182,0.38082558442601844,0.283742988962175,0.30151700045758295,0.4136566056764547
high,20,3,0.4691933086771872,0.4691933086771872,cost,0.1071130664541918,0.4468653047571588,0.34483884125194103,0.3672917347043045,0.45201015251270615
high,20,4,0.4226566203937571,0.432187818732871,cqi_then_cost,0.12644639978752512,0.3861193565320376,0.2948617167960245,0.30316489497814314,0.32950575059864606
high,20,5,0.4127891331422889,0.4178439740283447,cqi_then_cost,0.12577973312085847,0.3992816794634037,0.3057430580741933,0.31254108450549223,0.36120982291773257
high,20,6,0.4810980213071453,0.4851193767313014,cqi,0.10111306645419181,0.4426714506794903,0.3503600428152676,0.44294936778345856,0.41527102945241756
high,20,7,0.4250661500373026,0.4250661500373026,cost,0.11977973312085846,0.36481801433646655,0.2542513518503752,0.3101461228320366,0.34968138447595737
high,20,8,0.43249703592485683,0.43249703592485683,cost,0.12511306645419176,0.34529082692546476,0.3706250680376378,0.34238559543483715,0.3649771735170777
high,20,9,0.46030857821912435,0.46030857821912435,cost,0.1151130664541918,0.4414232427481669,0.3413366281314237,0.434751907763799,0.44918985038527437
high,20,10,0.46760436726024457,0.46760436726024457,cost,0.11511306645419178,0.45418986510257686,0.32992414290885713,0.3779589618162017,0.35280804392818865
high,20,11,0.4668625825745468,0.4708412031977474,cqi,0.11911306645419181,0.36221726585007485,0.3857124337034286,0.45103096065630716,0.4649538360743866
high,20,12,0.4177317236954858,0.421437966306769,cqi_then_cost,0.13644639978752512,0.30754247257379425,0.3340558730177377,0.31299489191635776,0.30352838346269123
high,20,13,0.45515230609306145,0.45515230609306145,cost,0.11377973312085847,0.44173780393539386,0.3303534230198426,0.2944982283114765,0.34789244926577145
high,20,14,0.4337733312925058,0.4395982870203363,cqi,0.12977973312085847,0.4187712996401023,0.3119804446298745,0.34438559543483716,0.3119804446298744
high,20,15,0.4464064875371616,0.4464064875371616,cost,0.11644639978752515,0.3773995765694721,0.4068269963482252,0.37293962922486457,0.41247489086878525
high,20,16,0.44538103013825264,0.44538103013825264,cost,0.11311306645419182,0.4082434219721701,0.2956075353519245,0.3945499794532116,0.4397331356176925
high,20,17,0.4289108165551597,0.4292991183516806,cqi,0.1297797331208585,0.3171820772814576,0.34117460085158746,0.36031050685041094,0.3106471112965411
high,20,18,0.4355399389296133,0.4355399389296133,cost,0.12377973312085852,0.34762770470293547,0.33900482474507004,0.33438559543483715,0.42812745370704675
high,20,19,0.44762110775394753,0.44762110775394753,cost,0.11311306645419185,0.36920572249180367,0.11311306645419185,0.31312735068593006,0.3677076789092335
