dispersion,seed,scenario_index,method,objective,adr_kbps,log_utility
low,2,4,Multi-feature k-means,ADR,7500.0,0.9333333333333333
low,2,5,No grouping,log-utility,7500.0,0.9313333333333335
low,2,5,CQI k-means,log-utility,7024.0,0.9394752045954101
low,2,5,Resource-cost k-means,log-utility,7500.0,0.9313333333333335
low,2,5,Multi-feature k-means,log-utility,6876.666666666667,0.9419953076051008
low,2,5,No grouping,ADR,7500.0,0.9313333333333335
low,2,5,CQI k-means,ADR,7500.0,0.9313333333333335
low,2,5,Resource-cost k-means,ADR,7500.0,0.9313333333333335
low,2,5,Multi-feature k-means,ADR,7500.0,0.9313333333333335
low,2,6,No grouping,log-utility,7500.0,0.934666666666667
low,2,6,CQI k-means,log-utility,7024.0,0.9428085379287434
low,2,6,Resource-cost k-means,log-utility,7500.0,0.934666666666667
low,2,6,Multi-feature k-means,log-utility,6820.0,0.9462979113267764
low,2,6,No grouping,ADR,7500.0,0.934666666666667
low,2,6,CQI k-means,ADR,7500.0,0.934666666666667
low,2,6,Resource-cost k-means,ADR,7500.0,0.934666666666667
low,2,6,Multi-feature k-means,ADR,7500.0,0.934666666666667
low,2,7,No grouping,log-utility,7500.0,0.9260000000000003
low,2,7,CQI k-means,log-utility,7035.333333333333,0.9339480171844083
low,2,7,Resource-cost k-means,log-utility,7500.0,0.9260000000000003
low,2,7,Multi-feature k-means,log-utility,6899.333333333333,0.9362742661164303
low,2,7,No grouping,ADR,7500.0,0.9260000000000003
low,2,7,CQI k-means,ADR,7500.0,0.9260000000000003
low,2,7,Resource-cost k-means,ADR,7500.0,0.9260000000000003
low,2,7,Multi-feature k-means,ADR,7500.0,0.9260000000000003
low,2,8,No grouping,log-utility,7500.0,0.932
low,2,8,CQI k-means,log-utility,7012.666666666667,0.9403357253397454
low,2,8,Resource-cost k-means,log-utility,7409.333333333333,0.9335508326213483
low,2,8,Multi-feature k-means,log-utility,6842.666666666667,0.9432435365047728
low,2,8,No grouping,ADR,7500.0,0.932
low,2,8,CQI k-means,ADR,7500.0,0.932
low,2,8,Resource-cost k-means,ADR,7500.0,0.932
low,2,8,Multi-feature k-means,ADR,7500.0,0.932
low,2,9,No grouping,log-utility,7500.0,0.9333333333333336
low,2,9,CQI k-means,log-utility,7103.333333333333,0.9401182260517307
low,2,9,Resource-cost k-means,log-utility,7454.666666666667,0.9341087496440075
low,2,9,Multi-feature k-means,log-utility,6933.333333333333,0.9416927038834247
low,2,9,No grouping,ADR,7500.0,0.9333333333333336
low,2,9,CQI k-means,ADR,7500.0,0.9333333333333336
low,2,9,Resource-cost k-means,ADR,7500.0,0.9333333333333336
