scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,acceptance_score,selected
40,history_cost_quality,12,72,0.34,8,13,5,0.015627381315261864,0.005787037037037042,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8583333333333335,0.8583333333333334,0.8583333333333334,0.8583333333333334,0.8583333333333334,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.001736111111111368,0
41,history_cost_quality,12,72,0.34,8,12,4,0.011020722883553782,0.004629629629629629,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0.0013888888888888887,0
42,history_cost_quality,12,72,0.34,8,14,6,0.013578657577452212,0.0037611288910351652,2,1,1,1,0.024231759708561396,0.024231759708561396,0.0,0.0,0.024231759708561396,0.024231759708561396,0.696969696969697,0.696969696969697,0.696969696969697,0.8658984263752282,0.8416666666666668,0.8416666666666668,0.8416666666666668,0.8416666666666668,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,1,0.05686138599700176,1
0,history_cost_quality,12,72,0.34,8,13,5,0.013508596759268212,0.003982557994001215,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8416666666666668,0.8416666666666667,0.8416666666666667,0.8416666666666667,0.8416666666666667,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.0011947673982006198,0
1,history_cost_quality,12,72,0.34,7,12,5,0.01986789072466625,0.004330621975432799,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8457447783169406,0.8457447783169405,0.8457447783169405,0.8457447783169405,0.8457447783169405,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.0012991865926300953,0
2,history_cost_quality,12,72,0.34,6,13,7,0.024651389091280555,0.0034722222222222238,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.001041666666666667,0
3,history_cost_quality,12,72,0.34,7,12,5,0.01629872747425824,0.005986157657863781,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.001795847297359134,0
4,history_cost_quality,12,72,0.34,6,14,8,0.034301180939594264,0.02199074074074074,2,2,2,2,0.2121385538647298,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8426560652820814,0.8426560652820813,0.8426560652820813,0.8426560652820813,0.6305175114173516,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.11266649915458732,0
5,history_cost_quality,12,72,0.34,8,12,4,0.01431503932380548,0.003934428637031475,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.85,0.85,0.85,0.85,0.85,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.0011803285911094424,0
6,history_cost_quality,12,72,0.34,6,13,7,0.02391586363240513,0.006232829637887159,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8374114449836073,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,test,1037,0,0.0018698488913664031,0
