dispersion,load,seed,method,mean_utility,n_scenarios
high,light,seed_0007,CQI+cost+switching+regret-graph+trend union,0.31192287904226285,15
high,light,seed_0008,CQI k-means,0.2695825227713176,15
high,light,seed_0008,Trend-slope k-means,0.21918546022620894,15
high,light,seed_0008,Trend-volatility k-means,0.21273706731634398,15
high,light,seed_0008,Trend-downside-deviation k-means,0.20732777198624083,15
high,light,seed_0008,Trend-only union (CQI+slope+volatility+downside),0.2725295781919559,15
high,light,seed_0008,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.28899017980256037,15
high,light,seed_0008,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.28899017980256037,15
high,light,seed_0008,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.28899017980256037,15
high,light,seed_0008,CQI+cost+switching+regret-graph+trend union,0.28899017980256037,15
high,light,seed_0009,CQI k-means,0.3003999894114484,15
high,light,seed_0009,Trend-slope k-means,0.24449251178353526,15
high,light,seed_0009,Trend-volatility k-means,0.23009359413565975,15
high,light,seed_0009,Trend-downside-deviation k-means,0.23889023765170989,15
high,light,seed_0009,Trend-only union (CQI+slope+volatility+downside),0.3004317913727803,15
high,light,seed_0009,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.3143419760071068,15
high,light,seed_0009,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.3143419760071068,15
high,light,seed_0009,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.3143419760071068,15
high,light,seed_0009,CQI+cost+switching+regret-graph+trend union,0.3143419760071068,15
high,light,seed_0010,CQI k-means,0.2682612062343738,15
high,light,seed_0010,Trend-slope k-means,0.22245881910887613,15
high,light,seed_0010,Trend-volatility k-means,0.20247961687450747,15
high,light,seed_0010,Trend-downside-deviation k-means,0.2052167793503553,15
high,light,seed_0010,Trend-only union (CQI+slope+volatility+downside),0.2682612062343738,15
high,light,seed_0010,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.28507978617822516,15
high,light,seed_0010,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.28507978617822516,15
high,light,seed_0010,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.28507978617822516,15
high,light,seed_0010,CQI+cost+switching+regret-graph+trend union,0.28507978617822516,15
high,medium,seed_0001,CQI k-means,0.18814153548968882,15
high,medium,seed_0001,Trend-slope k-means,0.140222550289654,15
high,medium,seed_0001,Trend-volatility k-means,0.1318471183621134,15
high,medium,seed_0001,Trend-downside-deviation k-means,0.13677159818104329,15
high,medium,seed_0001,Trend-only union (CQI+slope+volatility+downside),0.1886136302163294,15
high,medium,seed_0001,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.20046548461822056,15
high,medium,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.20046548461822056,15
high,medium,seed_0001,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.20093757934486112,15
high,medium,seed_0001,CQI+cost+switching+regret-graph+trend union,0.20093757934486112,15
high,medium,seed_0002,CQI k-means,0.13628184797653217,15
high,medium,seed_0002,Trend-slope k-means,0.10434908265735897,15
high,medium,seed_0002,Trend-volatility k-means,0.08706885174856548,15
high,medium,seed_0002,Trend-downside-deviation k-means,0.0716007038358121,15
high,medium,seed_0002,Trend-only union (CQI+slope+volatility+downside),0.1397646020464748,15
high,medium,seed_0002,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.15275781806190483,15
high,medium,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.1541677418495602,15
high,medium,seed_0002,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.15275781806190483,15
high,medium,seed_0002,CQI+cost+switching+regret-graph+trend union,0.1541677418495602,15
high,medium,seed_0003,CQI k-means,0.16771568009774507,15
high,medium,seed_0003,Trend-slope k-means,0.12636149832481366,15
high,medium,seed_0003,Trend-volatility k-means,0.11443334801240032,15
high,medium,seed_0003,Trend-downside-deviation k-means,0.11636624966482725,15
high,medium,seed_0003,Trend-only union (CQI+slope+volatility+downside),0.16920828898486334,15
high,medium,seed_0003,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.18241282364401246,15
high,medium,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.18241282364401246,15
high,medium,seed_0003,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.18241282364401246,15
high,medium,seed_0003,CQI+cost+switching+regret-graph+trend union,0.18241282364401246,15
high,medium,seed_0004,CQI k-means,0.15828796084506924,15
high,medium,seed_0004,Trend-slope k-means,0.10145924197044377,15
high,medium,seed_0004,Trend-volatility k-means,0.09652204136698116,15
high,medium,seed_0004,Trend-downside-deviation k-means,0.09950725914121766,15
high,medium,seed_0004,Trend-only union (CQI+slope+volatility+downside),0.15828796084506924,15
high,medium,seed_0004,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.17071364745318868,15
high,medium,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.17071364745318868,15
high,medium,seed_0004,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.17071364745318868,15
high,medium,seed_0004,CQI+cost+switching+regret-graph+trend union,0.17071364745318868,15
high,medium,seed_0005,CQI k-means,0.1286329264662873,15
high,medium,seed_0005,Trend-slope k-means,0.11189478339573886,15
high,medium,seed_0005,Trend-volatility k-means,0.106970303576809,15
high,medium,seed_0005,Trend-downside-deviation k-means,0.11642349319522467,15
high,medium,seed_0005,Trend-only union (CQI+slope+volatility+downside),0.1435144925916053,15
high,medium,seed_0005,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.1515959207759639,15
high,medium,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.1515959207759639,15
high,medium,seed_0005,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.15259099336737608,15
high,medium,seed_0005,CQI+cost+switching+regret-graph+trend union,0.15259099336737608,15
high,medium,seed_0006,CQI k-means,0.16594321395090617,15
high,medium,seed_0006,Trend-slope k-means,0.11237323851464583,15
high,medium,seed_0006,Trend-volatility k-means,0.1104021745086206,15
