dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
high,44,15,24,25,5,9.130555555555556,3.000399921903416,2,4.0,9.0,14.0,15,28,13683852,230908,47f984b4e92df5db8dc6981c9cac70a6ef92971287cfa3606d6a395f66672dea,13ee82448538b2c568a6fba731fc7f69c8dbcb7fef61d9fc4d51d0bdb1626978
low,45,15,24,25,5,14.772222222222222,0.5708721938651374,11,14.0,15.0,15.0,15,27,12250159,232934,6788c7d58ad34431ef3d6f4aacbecf3f009ca894c92c9589ce92d5faee1c806f,edff024f3853c5bf14e57bf6cf220e96c14213946c171ee8d9704096502a750e
mid,45,15,24,25,5,12.752777777777778,1.938640146412931,5,9.0,13.0,15.0,15,28,13415697,232934,35bea3f94dd7d71974c7e287e3da6ed6aa16d3e997ff3dc1d6a096425f649600,edff024f3853c5bf14e57bf6cf220e96c14213946c171ee8d9704096502a750e
high,45,15,24,25,5,8.994444444444444,2.8037618028130673,2,4.0,9.0,13.0,14,27,13825665,232934,4060cbd8b43c464bb32ddeac8dc197c68852eabcc33fc030fc03fa984fb3e486,edff024f3853c5bf14e57bf6cf220e96c14213946c171ee8d9704096502a750e
low,46,15,24,25,5,14.747222222222222,0.5868873217194777,11,14.0,15.0,15.0,15,26,12140729,230579,dc24e2cce1d60949a430310cb3a12e8c3bda5a7eeae2b4da9c335bc0955ed1cf,3834fe7c44860b4686f2971ce7489666c38fb683beb4619055e3cd603d9049f5
mid,46,15,24,25,5,12.627777777777778,2.0290407026078867,5,9.0,13.0,15.0,15,28,13355216,230579,d1bdbb31505c5f7d3a71a3a87f7d7c8c6b30718aa9c6501c7a44e7dbe2bc4165,3834fe7c44860b4686f2971ce7489666c38fb683beb4619055e3cd603d9049f5
high,46,15,24,25,5,9.327777777777778,3.0918001867943743,2,4.0,9.0,14.0,15,28,13698031,230579,70dd8d629a845a9b8acb3dd2944c4323db055204b10aa54576efa9b83bfb6f4b,3834fe7c44860b4686f2971ce7489666c38fb683beb4619055e3cd603d9049f5
low,47,15,24,25,5,14.8,0.4642796092394706,13,14.0,15.0,15.0,15,27,12040812,229915,747590a375c0560d3b79dfd3ab836c643b08250b7feeb266694485dbfee0aab9,38a7a936735627cc52f28b4a791d59ef741cce61db476d3990285c8c05068d98
mid,47,15,24,25,5,12.616666666666667,2.1953865769431635,2,8.0,13.0,15.0,15,27,13301989,229915,ba88b22c7b37eec4904dae5e448ac5b057f3b3f83e28849ec3558a29cfc55679,38a7a936735627cc52f28b4a791d59ef741cce61db476d3990285c8c05068d98
high,47,15,24,25,5,9.044444444444444,2.9265493944276235,2,4.0,9.0,14.0,15,27,13679989,229915,3907cc2f78b240da7439b9b5a1e4cc23cfff64e4fbb421d85bcb6053bd564544,38a7a936735627cc52f28b4a791d59ef741cce61db476d3990285c8c05068d98
low,48,15,24,25,5,14.819444444444445,0.5458527703635663,10,14.0,15.0,15.0,15,27,12177663,232143,994807b6c709102548561b86b66b95b65a96e8f4fbecc07dcba5e280e3b67e58,3275164a42b81841d18d0668aa669d8588014b6306742397903b959bb323d6fc
mid,48,15,24,25,5,12.5,2.3333333333333335,4,7.0,13.0,15.0,15,28,13430352,232143,e27a76a6b4c7c03a561dcd2c5f093d2dfd4cee6ea817c5003e74620d331f68fe,3275164a42b81841d18d0668aa669d8588014b6306742397903b959bb323d6fc
high,48,15,24,25,5,9.377777777777778,3.0707500993795485,2,4.0,10.0,14.0,15,28,13832822,232143,3b2fa553bb15822c9c3cf7cdcc0ae4af5bf131a500d63a2a7f0a0076c4f3c2c2,3275164a42b81841d18d0668aa669d8588014b6306742397903b959bb323d6fc
low,49,15,24,25,5,14.766666666666667,0.5783117190965824,11,14.0,15.0,15.0,15,26,12134926,230272,059be0764b24c00d75af9b86f1d1ae7326f8e5d22fd614ddd34c216746b4c4d7,d09f7caa00a7214c44be2c518fb1847f4575d9ccf8a4132191de003adb6a2b80
mid,49,15,24,25,5,12.652777777777779,2.0893893460784594,5,8.0,13.0,15.0,15,27,13257022,230272,b21d8bec1e25309f2648cc3c6e38ea46f422319bb271ce53ef1dca960b4a3197,d09f7caa00a7214c44be2c518fb1847f4575d9ccf8a4132191de003adb6a2b80
high,49,15,24,25,5,9.597222222222221,3.125432068896067,2,4.0,10.0,14.0,15,27,13667685,230272,4dd8d279526a297b35915984eca82849783fe9229caacdfdc497b4becbda81bf,d09f7caa00a7214c44be2c518fb1847f4575d9ccf8a4132191de003adb6a2b80
low,50,15,24,25,5,14.761111111111111,0.5996655446430942,11,13.0,15.0,15.0,15,26,12059065,229031,bcb785baccfaa954356fcedc761d8e21f24e7d1d6d376a831336a9557573fe68,78623f7dc5d80948cb6d2090d02e4219ce6f68773d08be9df8ddd7150bb949aa
mid,50,15,24,25,5,12.480555555555556,2.1793627310707704,5,8.0,13.0,15.0,15,27,13200796,229031,8ad2fd4a75fd770864ca1824fb4d3702f18191e55f5ea07267cace4b125e286c,78623f7dc5d80948cb6d2090d02e4219ce6f68773d08be9df8ddd7150bb949aa
high,50,15,24,25,5,9.322222222222223,3.0002880520146276,2,4.0,9.0,14.0,15,27,13606781,229031,68dfbdeb3be247750a53b8a10f225cd7685566210d3112c76b7ac90753daef17,78623f7dc5d80948cb6d2090d02e4219ce6f68773d08be9df8ddd7150bb949aa
