scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000381,31,1,14.96,14.96,14.96,14.92,14.92,15,3,107.59016559873876,12.6093435155056,-0.13191070751716902,154.192294866019,226.65,,,,
simu5g_00000382,0,0,13.28,13.28,13.28,14.0,14.0,14,2,107.75506966603153,7.85848036254908,0.49949538374362984,226.65,333.823159873156,,,,
simu5g_00000382,1,1,14.4,14.4,14.4,14.4,14.4,14,2,115.91710913424276,7.59371872108881,0.5928446572485854,226.65,348.720838833937,,,,
simu5g_00000382,2,2,15.0,15.0,15.0,15.0,15.0,15,2,124.578585283655,7.61218586448713,0.662201042641216,226.65,362.496069065604,,,,
simu5g_00000382,3,3,12.8,12.8,13.68,13.68,13.68,14,2,155.55073253323653,2.91310083667206,0.7999056721741822,226.65,404.425913264185,,,,
simu5g_00000382,4,4,11.28,11.28,11.28,11.28,11.28,11,2,164.14872947840183,1.234058847832,0.8225508428472277,226.65,415.020675784761,,,,
simu5g_00000383,15,0,15.0,15.0,15.0,15.0,15.0,15,3,84.66212157348295,7.08754224553066,0.17537520779092355,223.35,105.15236283703,,,,
simu5g_00000383,31,1,14.96,14.96,14.92,14.92,14.92,15,3,107.76490979116039,12.6905314432471,-0.14347293604482034,155.461348010343,226.65,,,,
simu5g_00000384,0,0,13.28,13.28,14.0,14.0,14.0,14,2,107.3621361663534,7.91039585517452,0.49395552455725916,226.65,333.032120287639,,,,
simu5g_00000384,1,1,14.4,14.4,14.4,14.4,14.4,14,2,115.46500389586363,7.6537823898659,0.5885372909720606,226.65,347.95546059495,,,,
simu5g_00000384,2,2,15.0,15.0,15.0,15.0,13.12,13,2,124.07374829685277,7.64358472770286,0.6587349194713351,226.65,361.731710592834,,,,
simu5g_00000384,3,3,12.8,13.68,13.68,13.68,13.68,14,2,155.31494742562504,2.94892186354746,0.7992213443414521,226.65,404.13102107783,,,,
simu5g_00000384,4,4,11.28,11.28,11.28,11.28,11.28,11,2,164.04075225818335,1.31291838392799,0.822291912768517,226.65,414.889383946368,,,,
simu5g_00000385,15,0,15.0,15.0,15.0,15.0,15.0,15,3,84.53959859236302,7.15360978367682,0.16716753355721115,223.35,105.867723815398,,,,
simu5g_00000385,31,1,14.96,14.92,14.92,14.92,14.96,15,3,107.95523596776566,12.7515320275296,-0.15503186170695188,156.736501213096,226.65,,,,
simu5g_00000386,0,0,13.28,14.0,14.0,14.0,14.0,14,2,106.9714780617031,7.95403136716283,0.48832378590478964,226.65,332.236717150922,,,,
simu5g_00000386,1,1,14.4,14.4,14.4,14.4,14.4,14,2,115.01340503940892,7.70188110876981,0.5841516687646295,226.65,347.185272484073,,,,
simu5g_00000386,2,2,15.0,15.0,15.0,13.12,13.12,13,2,123.56783003937312,7.70076959122171,0.6551999303371656,226.65,360.961633633712,,,,
simu5g_00000386,3,3,13.68,13.68,13.68,13.68,13.68,14,2,155.0748180168588,3.00585873225301,0.7985205901782383,226.65,403.830435204605,,,,
simu5g_00000386,4,4,11.28,11.28,11.28,11.28,11.28,11,2,163.92824642233106,1.36842318759018,0.8220214915277249,226.65,414.752541627609,,,,
simu5g_00000387,15,0,15.0,15.0,15.0,15.0,15.0,15,3,84.4224370524207,7.18649610482426,0.15888698600102047,223.35,106.58637342588,,,,
simu5g_00000387,31,1,14.92,14.92,14.92,14.96,14.96,15,3,108.16164566506666,12.834625209243,-0.16660215941815093,158.019963734021,226.65,,,,
simu5g_00000388,0,0,14.0,14.0,14.0,14.0,14.84,15,2,106.58419572709094,7.97740889814602,0.48261354237562204,226.65,331.438976261108,,,,
simu5g_00000388,1,1,14.4,14.4,14.4,14.4,14.4,14,2,114.56165421807673,7.76311362984798,0.5796787902056089,226.65,346.408961121088,,,,
simu5g_00000388,2,2,15.0,15.0,13.12,13.12,13.12,13,2,123.06391764227723,7.71202000846558,0.6516161127420217,226.65,360.190431632865,,,,
simu5g_00000388,3,3,13.68,13.68,13.68,13.68,13.68,14,2,154.83085589176147,3.05654548351507,0.7978046749454526,226.65,403.524780656253,,,,
simu5g_00000388,4,4,11.28,11.28,11.28,11.28,11.28,11,2,163.81146437237004,1.42091216728508,0.8217401079138736,226.65,414.610450410881,,,,
simu5g_00000389,15,0,15.0,15.0,15.0,15.0,15.0,15,3,84.3103554741875,7.24515486897752,0.15050477507602142,223.35,107.310888912778,,,,
simu5g_00000389,31,1,14.92,14.92,14.96,14.96,14.96,15,3,108.38452505568588,12.9279814890507,-0.17818744763612215,159.312761882926,226.65,,,,
simu5g_00000390,0,0,14.0,14.0,14.0,14.84,14.84,15,2,106.19940520735295,8.02120450388769,0.4768092223478201,226.65,330.636855810719,,,,
simu5g_00000390,1,1,14.4,14.4,14.4,14.4,14.24,14,2,114.11295221597751,7.77083474277481,0.575148362848346,226.65,345.631877646811,,,,
simu5g_00000390,2,2,15.0,13.12,13.12,13.12,13.12,13,2,122.5598899287273,7.75671547967978,0.6479669664445633,226.65,359.414760084897,,,,
simu5g_00000390,3,3,13.68,13.68,13.68,13.68,13.68,14,2,154.58358854555445,3.10076389184215,0.7970749380731235,226.65,403.214704267069,,,,
