scenario,grouping,greedy_utility,dp_utility,utility_gap,greedy_adr,dp_adr,adr_gap,greedy_rb_util,dp_rb_util,greedy_switching,dp_switching
26,No grouping,0.5888508447506849,0.5888508447506849,0.0,3000.0,3000.0,0.0,0.8260869565217391,0.8260869565217391,0.3166666666666667,0.3166666666666667
26,CQI k-means,0.6005708862728383,0.6463642049976785,0.04579331872484027,3250.0,4366.666666666667,1116.666666666667,0.8043478260869565,0.9782608695652174,0.25000000000000006,0.3166666666666667
26,Resource-cost,0.6752211583239762,0.6752211583239762,0.0,5083.333333333333,5083.333333333333,0.0,0.8913043478260869,0.8913043478260869,0.38333333333333347,0.38333333333333347
26,Teacher,0.6752211583239762,0.6752211583239762,0.0,5083.333333333333,5083.333333333333,0.0,0.8913043478260869,0.8913043478260869,0.38333333333333347,0.38333333333333347
27,No grouping,0.41426972502582093,0.41426972502582093,0.0,1500.0,1500.0,0.0,0.8793103448275862,0.8793103448275862,0.2833333333333333,0.2833333333333333
27,CQI k-means,0.5777303927014884,0.5777303927014886,2.220446049250313e-16,4616.666666666667,4616.666666666667,0.0,1.0,0.9827586206896551,0.3166666666666667,0.3166666666666667
27,Resource-cost,0.5777303927014884,0.5777303927014886,2.220446049250313e-16,4616.666666666667,4616.666666666667,0.0,1.0,0.9827586206896551,0.3166666666666667,0.3166666666666667
27,Teacher,0.5436270194941991,0.5807671695524298,0.03714015005823068,3216.6666666666665,3916.6666666666665,700.0,0.8793103448275862,1.0,0.25000000000000006,0.26666666666666666
28,No grouping,0.3809363916924877,0.3809363916924877,0.0,1500.0,1500.0,0.0,0.4339622641509434,0.4339622641509434,0.35000000000000003,0.35000000000000003
28,CQI k-means,0.7029681958462438,0.7078145477879562,0.004846351941712346,4500.0,4216.666666666667,-283.33333333333303,1.0,0.9433962264150944,0.15,0.11666666666666665
28,Resource-cost,0.7544521098030859,0.754452109803086,1.1102230246251565e-16,5375.0,5375.0,0.0,0.9811320754716981,0.9811320754716981,0.2166666666666667,0.2166666666666667
28,Teacher,0.7544521098030859,0.7544521098030859,0.0,5375.0,5375.0,0.0,0.9811320754716981,0.9811320754716981,0.2166666666666667,0.2166666666666667
29,No grouping,0.6471841780840183,0.6471841780840183,0.0,3000.0,3000.0,0.0,0.7692307692307693,0.7692307692307693,0.20000000000000004,0.20000000000000004
29,CQI k-means,0.64955627596866,0.6814309070339152,0.03187463106525523,3125.0,3375.0,250.0,0.9743589743589743,1.0,0.06666666666666667,0.06666666666666667
29,Resource-cost,0.7066401632052032,0.7066401632052033,1.1102230246251565e-16,5000.0,5000.0,0.0,0.9487179487179487,0.9487179487179487,0.21666666666666667,0.21666666666666667
29,Teacher,0.7373161394837556,0.7373161394837555,-1.1102230246251565e-16,4625.0,4625.0,0.0,0.9743589743589743,0.9487179487179487,0.1666666666666667,0.1666666666666667
30,No grouping,0.8833333333333334,0.8833333333333334,0.0,7500.0,7500.0,0.0,0.3142857142857143,0.2857142857142857,0.2333333333333334,0.2333333333333334
30,CQI k-means,0.8833333333333334,0.8906028612459019,0.007269527912568519,7500.0,7075.0,-425.0,0.8571428571428571,0.7142857142857143,0.2333333333333334,0.18333333333333335
30,Resource-cost,0.8833333333333334,0.8833333333333334,0.0,7500.0,7500.0,0.0,0.3142857142857143,0.2857142857142857,0.2333333333333334,0.2333333333333334
30,Teacher,0.9002955651293263,0.9002955651293263,0.0,6508.333333333333,6508.333333333333,0.0,1.0,0.8857142857142857,0.11666666666666665,0.11666666666666665
31,No grouping,0.9166666666666666,0.9166666666666666,0.0,7500.0,7500.0,0.0,0.35294117647058826,0.3235294117647059,0.16666666666666666,0.16666666666666666
31,CQI k-means,0.9166666666666666,0.9287825465209475,0.012115879854280864,7500.0,6791.666666666667,-708.333333333333,0.6470588235294118,0.5294117647058824,0.16666666666666666,0.08333333333333333
31,Resource-cost,0.9166666666666666,0.9190898426375229,0.002423175970856284,7500.0,7358.333333333333,-141.66666666666697,0.6470588235294118,0.5294117647058824,0.16666666666666666,0.15
31,Teacher,0.9127103816223822,0.9263593705500912,0.01364898892770905,6466.666666666667,6933.333333333333,466.66666666666606,0.9705882352941176,0.9411764705882353,0.06666666666666667,0.09999999999999999
32,No grouping,0.9583333333333334,0.9583333333333334,0.0,7500.0,7500.0,0.0,0.3548387096774194,0.3225806451612903,0.08333333333333333,0.08333333333333333
32,CQI k-means,0.9583333333333334,0.9583333333333334,0.0,7500.0,7500.0,0.0,0.3548387096774194,0.3225806451612903,0.08333333333333333,0.08333333333333333
32,Resource-cost,0.9583333333333334,0.9583333333333334,0.0,7500.0,7500.0,0.0,0.3548387096774194,0.3225806451612903,0.08333333333333333,0.08333333333333333
32,Teacher,0.9396885241445244,0.9631796852750455,0.023491161130521077,6983.333333333333,7216.666666666667,233.33333333333394,1.0,0.9354838709677419,0.06666666666666667,0.05000000000000001
33,No grouping,0.9083333333333333,0.9083333333333333,0.0,7500.0,7500.0,0.0,0.3235294117647059,0.29411764705882354,0.18333333333333335,0.18333333333333335
33,CQI k-means,0.9083333333333333,0.918026037216758,0.009692703883424691,7500.0,6933.333333333333,-566.666666666667,0.6176470588235294,0.47058823529411764,0.18333333333333335,0.11666666666666665
33,Resource-cost,0.9083333333333333,0.9083333333333333,0.0,7500.0,7500.0,0.0,0.3235294117647059,0.29411764705882354,0.18333333333333335,0.18333333333333335
33,Teacher,0.8828640296806697,0.9228723891584704,0.04000835947780068,6750.0,6650.0,-100.0,1.0,0.9117647058823529,0.15,0.08333333333333333
34,No grouping,0.613850844750685,0.613850844750685,0.0,3000.0,3000.0,0.0,0.6875,0.6875,0.26666666666666666,0.26666666666666666
34,CQI k-means,0.6566401632052032,0.6569357283345295,0.00029556512932626955,5000.0,4008.3333333333335,-991.6666666666665,0.84375,0.71875,0.3166666666666667,0.23333333333333336
34,Resource-cost,0.668645463897496,0.6713642049976785,0.0027187411001824424,5500.0,4366.666666666667,-1133.333333333333,0.875,0.75,0.3666666666666667,0.2666666666666667
34,Teacher,0.702459348327494,0.702459348327494,0.0,4725.0,4725.0,0.0,0.9375,0.9375,0.2666666666666667,0.2666666666666667
35,No grouping,0.875,0.875,0.0,7500.0,7500.0,0.0,0.41025641025641024,0.38461538461538464,0.25000000000000006,0.25000000000000006
35,CQI k-means,0.875,0.8846927038834247,0.009692703883424691,7500.0,6933.333333333333,-566.666666666667,0.717948717948718,0.5641025641025641,0.25000000000000006,0.18333333333333335
35,Resource-cost,0.875,0.8846927038834247,0.009692703883424691,7500.0,6933.333333333333,-566.666666666667,0.717948717948718,0.5641025641025641,0.25000000000000006,0.18333333333333335
