scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000202,11.4,1,2,14,13,1.000000,181.120000,552.000000,0
simu5g_00000203,11.5,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000204,11.5,0,1,15,14,1.000000,70.080000,552.000000,0
simu5g_00000204,11.5,0,2,15,13,2.000000,164.800000,552.000000,0
simu5g_00000204,11.5,1,2,14,13,1.000000,181.120000,552.000000,0
simu5g_00000205,11.6,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000206,11.6,0,1,15,14,1.000000,70.080000,552.000000,0
simu5g_00000206,11.6,0,2,15,13,2.000000,164.800000,552.000000,0
simu5g_00000206,11.6,1,2,14,13,1.000000,181.120000,552.000000,0
simu5g_00000207,11.7,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000208,11.7,0,1,15,14,1.000000,70.080000,552.000000,0
simu5g_00000208,11.7,0,2,15,13,2.000000,160.640000,552.000000,0
simu5g_00000208,11.7,1,2,14,13,1.000000,176.960000,552.000000,0
simu5g_00000209,11.8,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000210,11.8,0,1,15,14,1.000000,70.080000,552.000000,0
simu5g_00000210,11.8,0,2,15,13,2.000000,160.640000,552.000000,0
simu5g_00000210,11.8,1,2,14,13,1.000000,176.960000,552.000000,0
simu5g_00000211,11.9,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000212,11.9,0,1,15,15,0.000000,23.040000,272.000000,1
simu5g_00000212,11.9,0,2,15,13,2.000000,160.640000,552.000000,0
simu5g_00000212,11.9,1,2,15,13,2.000000,170.880000,552.000000,0
simu5g_00000213,12.0,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000214,12.0,0,1,15,15,0.000000,18.560000,272.000000,1
simu5g_00000214,12.0,0,2,15,13,2.000000,167.680000,552.000000,0
simu5g_00000214,12.0,1,2,15,13,2.000000,170.880000,552.000000,0
simu5g_00000215,12.1,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000216,12.1,0,1,15,15,0.000000,18.560000,272.000000,1
simu5g_00000216,12.1,0,2,15,13,2.000000,167.680000,552.000000,0
simu5g_00000216,12.1,1,2,15,13,2.000000,170.880000,552.000000,0
simu5g_00000217,12.2,15,31,15,15,0.000000,2.560000,32.000000,1
simu5g_00000218,12.2,0,1,15,15,0.000000,18.560000,272.000000,1
simu5g_00000218,12.2,0,2,15,13,2.000000,167.680000,552.000000,0
simu5g_00000218,12.2,1,2,15,13,2.000000,170.880000,552.000000,0
simu5g_00000219,12.3,15,31,15,14,1.000000,53.440000,376.000000,0
simu5g_00000220,12.3,0,1,15,15,0.000000,18.560000,272.000000,1
simu5g_00000220,12.3,0,2,15,13,2.000000,167.680000,552.000000,0
simu5g_00000220,12.3,1,2,15,13,2.000000,170.880000,552.000000,0
simu5g_00000221,12.4,15,31,15,14,1.000000,53.440000,376.000000,0
simu5g_00000222,12.4,0,1,15,15,0.000000,18.560000,272.000000,1
simu5g_00000222,12.4,0,2,15,13,2.000000,167.680000,552.000000,0
simu5g_00000222,12.4,1,2,15,13,2.000000,170.880000,552.000000,0
simu5g_00000223,12.5,15,31,15,14,1.000000,53.440000,376.000000,0
simu5g_00000224,12.5,0,1,15,15,0.000000,18.560000,272.000000,1
simu5g_00000224,12.5,0,2,15,14,1.000000,62.080000,352.000000,0
simu5g_00000224,12.5,1,2,15,14,1.000000,72.960000,352.000000,0
simu5g_00000225,12.6,15,31,15,14,1.000000,52.160000,376.000000,0
simu5g_00000226,12.6,0,1,15,15,0.000000,13.440000,176.000000,1
simu5g_00000226,12.6,0,2,15,14,1.000000,62.080000,352.000000,0
simu5g_00000226,12.6,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000227,12.7,15,31,15,14,1.000000,52.160000,376.000000,0
simu5g_00000228,12.7,0,1,15,15,0.000000,16.640000,176.000000,1
simu5g_00000228,12.7,0,2,15,14,1.000000,67.840000,352.000000,0
simu5g_00000228,12.7,1,2,15,14,1.000000,70.400000,352.000000,0
simu5g_00000229,12.8,15,31,15,15,0.000000,26.880000,272.000000,1
simu5g_00000230,12.8,0,1,15,15,0.000000,16.640000,176.000000,1
