scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,training_loads
ambiguous,medium,0.25,17,6,3,history_cost_quality,Multi-feature k-means,0.6340579710144928,0.0,0.0,3,1,light+medium
ambiguous,medium,0.25,17,6,3,history_cost_quality,LE-GRA MVP,0.4891304347826087,-0.017784287059315843,0.09136509393151862,3,2,light+medium
ambiguous,medium,0.25,17,7,3,history_cost_quality,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1,light+medium
ambiguous,medium,0.25,17,7,3,history_cost_quality,LE-GRA MVP,0.5289855072463768,0.07329924066325738,0.2056800264008582,3,3,light+medium
ambiguous,medium,0.25,17,8,3,history_cost_quality,Multi-feature k-means,0.644927536231884,0.28884682126518385,0.3834235399489019,3,2,light+medium
ambiguous,medium,0.25,17,8,3,history_cost_quality,LE-GRA MVP,0.605072463768116,0.21089077746301538,0.3440068783110784,3,2,light+medium
ambiguous,medium,0.25,17,9,3,history_cost_quality,Multi-feature k-means,0.6086956521739131,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,9,3,history_cost_quality,LE-GRA MVP,0.5036231884057971,0.0837452747891829,0.18190028395417265,2,3,light+medium
ambiguous,medium,0.25,17,10,3,history_cost_quality,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,10,3,history_cost_quality,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,11,3,history_cost_quality,Multi-feature k-means,0.5471014492753623,0.1630276564774382,0.2906113924964639,3,3,light+medium
ambiguous,medium,0.25,17,11,3,history_cost_quality,LE-GRA MVP,0.48188405797101447,-0.021745883814849314,0.0011161220247181258,3,2,light+medium
ambiguous,medium,0.25,17,12,3,history_cost_quality,Multi-feature k-means,0.7717391304347826,0.5443873807776963,0.545228008856072,2,2,light+medium
ambiguous,medium,0.25,17,12,3,history_cost_quality,LE-GRA MVP,0.5688405797101449,0.13939838591342635,0.3112616669128056,2,2,light+medium
ambiguous,medium,0.25,17,13,3,history_cost_quality,Multi-feature k-means,0.6884057971014492,0.4075183465628276,0.6357622725700877,3,3,light+medium
ambiguous,medium,0.25,17,13,3,history_cost_quality,LE-GRA MVP,0.8840579710144928,0.7631536604987932,0.6643726013806454,3,2,light+medium
ambiguous,medium,0.25,17,14,3,history_cost_quality,Multi-feature k-means,0.7101449275362319,0.4231673546162286,0.4699285490644171,2,2,light+medium
ambiguous,medium,0.25,17,14,3,history_cost_quality,LE-GRA MVP,0.8405797101449275,0.6807403123192597,0.5845567648250811,2,2,light+medium
ambiguous,medium,0.25,17,15,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,17,15,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,17,16,3,history_cost_quality,Multi-feature k-means,0.44565217391304346,0.0,0.0,3,1,light+medium
ambiguous,medium,0.25,17,16,3,history_cost_quality,LE-GRA MVP,0.5289855072463768,0.021756911500081837,0.17627224923920273,3,3,light+medium
ambiguous,medium,0.25,17,17,3,history_cost_quality,Multi-feature k-means,0.6630434782608695,0.3214550068732156,0.47881607547788557,3,3,light+medium
ambiguous,medium,0.25,17,17,3,history_cost_quality,LE-GRA MVP,0.6231884057971014,0.23696102929448665,0.4491909032577819,3,3,light+medium
ambiguous,medium,0.25,17,18,3,history_cost_quality,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,18,3,history_cost_quality,LE-GRA MVP,0.6086956521739131,-0.05709624796084809,0.03348749894623301,2,2,light+medium
ambiguous,medium,0.25,17,19,3,history_cost_quality,Multi-feature k-means,0.5688405797101449,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,17,19,3,history_cost_quality,LE-GRA MVP,0.9166666666666666,0.8316537604752308,0.7712207797821039,2,2,light+medium
ambiguous,light,0.5,23,0,3,history_cost_quality,Multi-feature k-means,0.5869565217391305,0.2344153000145993,0.4152730891350569,2,3,light+medium
ambiguous,light,0.5,23,0,3,history_cost_quality,LE-GRA MVP,0.5289855072463768,0.14835034417279852,0.3451465301446536,2,3,light+medium
ambiguous,light,0.5,23,1,3,history_cost_quality,Multi-feature k-means,0.532608695652174,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,23,1,3,history_cost_quality,LE-GRA MVP,0.4891304347826087,-0.020774315391879187,0.08128214577277305,3,2,light+medium
ambiguous,light,0.5,23,2,3,history_cost_quality,Multi-feature k-means,0.6702898550724637,0.32023384215654427,0.4613694487178435,3,3,light+medium
ambiguous,light,0.5,23,2,3,history_cost_quality,LE-GRA MVP,0.7282608695652174,0.45566424739665506,0.47777164370091924,3,3,light+medium
ambiguous,light,0.5,23,3,3,history_cost_quality,Multi-feature k-means,0.4166666666666667,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,23,3,3,history_cost_quality,LE-GRA MVP,0.5434782608695652,0.07466340269277848,0.24568370482100835,3,3,light+medium
ambiguous,light,0.5,23,4,3,history_cost_quality,Multi-feature k-means,0.7717391304347826,0.4346468981662113,0.40755154869077814,3,2,light+medium
ambiguous,light,0.5,23,4,3,history_cost_quality,LE-GRA MVP,0.5543478260869565,0.11951447245564886,0.26344545660421625,3,2,light+medium
ambiguous,light,0.5,23,5,3,history_cost_quality,Multi-feature k-means,0.48188405797101447,-0.04181184668989548,0.006996768153785553,3,2,light+medium
ambiguous,light,0.5,23,5,3,history_cost_quality,LE-GRA MVP,0.5181159420289855,-0.008794107947675095,0.16617457664272,3,3,light+medium
ambiguous,light,0.5,23,6,3,history_cost_quality,Multi-feature k-means,0.6847826086956522,0.3806870937790158,0.3635032325238267,3,2,light+medium
ambiguous,light,0.5,23,6,3,history_cost_quality,LE-GRA MVP,0.6123188405797102,0.2074074074074074,0.4435269032353653,3,3,light+medium
ambiguous,light,0.5,23,7,3,history_cost_quality,Multi-feature k-means,0.48188405797101447,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,23,7,3,history_cost_quality,LE-GRA MVP,0.5,0.0018344776979926584,0.20372439818554047,3,3,light+medium
ambiguous,light,0.5,23,8,3,history_cost_quality,Multi-feature k-means,0.6376811594202898,0.29227139853325806,0.43098726241650714,3,3,light+medium
ambiguous,light,0.5,23,8,3,history_cost_quality,LE-GRA MVP,0.7717391304347826,0.5246582832148715,0.4857214926748289,3,2,light+medium
ambiguous,light,0.5,23,9,3,history_cost_quality,Multi-feature k-means,0.4673913043478261,0.08398807911135195,0.2108049043396271,3,2,light+medium
ambiguous,light,0.5,23,9,3,history_cost_quality,LE-GRA MVP,0.6231884057971014,0.17955753730063453,0.3091178313304388,3,3,light+medium
ambiguous,light,0.5,23,10,3,history_cost_quality,Multi-feature k-means,0.5760869565217391,0.19407008086253374,0.37985511461974664,2,3,light+medium
ambiguous,light,0.5,23,10,3,history_cost_quality,LE-GRA MVP,0.7717391304347826,0.482315112540193,0.4420720417787592,2,2,light+medium
ambiguous,light,0.5,23,11,3,history_cost_quality,Multi-feature k-means,0.4891304347826087,-0.02659069325735997,0.07705293773214854,3,3,light+medium
ambiguous,light,0.5,23,11,3,history_cost_quality,LE-GRA MVP,0.5144927536231884,0.01344430217669651,0.1816413262989729,3,3,light+medium
ambiguous,light,0.5,23,12,3,history_cost_quality,Multi-feature k-means,0.5362318840579711,0.07143983598801457,0.27673634873147984,3,2,light+medium
ambiguous,light,0.5,23,12,3,history_cost_quality,LE-GRA MVP,0.5362318840579711,0.0842449064233501,0.2589699916929915,3,3,light+medium
ambiguous,light,0.5,23,13,3,history_cost_quality,Multi-feature k-means,0.6014492753623188,0.1598870994521003,0.11335791826982973,3,2,light+medium
ambiguous,light,0.5,23,13,3,history_cost_quality,LE-GRA MVP,0.5434782608695652,0.11767392297153295,0.24188249348158883,3,3,light+medium
ambiguous,light,0.5,23,14,3,history_cost_quality,Multi-feature k-means,0.6376811594202898,0.2701887989846105,0.3445794210291724,3,3,light+medium
