schema_version,scenario_id,timestamp_s,serving_gnb,rb_available,total_rbs,dispersion
1.0,simu5g_00000254,20.0,gnb_1,7,25,simu5g
1.0,simu5g_00000255,20.0,gnb_2,7,25,simu5g
1.0,simu5g_00000256,20.1,gnb_1,7,25,simu5g
1.0,simu5g_00000257,20.1,gnb_2,7,25,simu5g
1.0,simu5g_00000258,20.2,gnb_1,7,25,simu5g
1.0,simu5g_00000259,20.2,gnb_2,7,25,simu5g
1.0,simu5g_00000260,20.3,gnb_1,7,25,simu5g
1.0,simu5g_00000261,20.3,gnb_2,7,25,simu5g
1.0,simu5g_00000262,20.4,gnb_1,7,25,simu5g
1.0,simu5g_00000263,20.4,gnb_2,7,25,simu5g
1.0,simu5g_00000264,20.5,gnb_1,7,25,simu5g
1.0,simu5g_00000265,20.5,gnb_2,7,25,simu5g
1.0,simu5g_00000266,20.6,gnb_1,7,25,simu5g
1.0,simu5g_00000267,20.6,gnb_2,7,25,simu5g
1.0,simu5g_00000268,20.7,gnb_1,7,25,simu5g
1.0,simu5g_00000269,20.7,gnb_2,7,25,simu5g
1.0,simu5g_00000270,20.8,gnb_1,7,25,simu5g
1.0,simu5g_00000271,20.8,gnb_2,7,25,simu5g
1.0,simu5g_00000272,20.9,gnb_1,7,25,simu5g
1.0,simu5g_00000273,20.9,gnb_2,7,25,simu5g
1.0,simu5g_00000274,21.0,gnb_1,7,25,simu5g
1.0,simu5g_00000275,21.0,gnb_2,7,25,simu5g
1.0,simu5g_00000276,21.1,gnb_1,7,25,simu5g
1.0,simu5g_00000277,21.1,gnb_2,7,25,simu5g
1.0,simu5g_00000278,21.2,gnb_1,7,25,simu5g
1.0,simu5g_00000279,21.2,gnb_2,7,25,simu5g
1.0,simu5g_00000280,21.3,gnb_1,7,25,simu5g
1.0,simu5g_00000281,21.3,gnb_2,7,25,simu5g
1.0,simu5g_00000282,21.4,gnb_1,7,25,simu5g
1.0,simu5g_00000283,21.4,gnb_2,7,25,simu5g
1.0,simu5g_00000284,21.5,gnb_1,7,25,simu5g
1.0,simu5g_00000285,21.5,gnb_2,7,25,simu5g
1.0,simu5g_00000286,21.6,gnb_1,7,25,simu5g
1.0,simu5g_00000287,21.6,gnb_2,7,25,simu5g
1.0,simu5g_00000288,21.7,gnb_1,7,25,simu5g
1.0,simu5g_00000289,21.7,gnb_2,7,25,simu5g
1.0,simu5g_00000290,21.8,gnb_1,7,25,simu5g
1.0,simu5g_00000291,21.8,gnb_2,7,25,simu5g
1.0,simu5g_00000292,21.9,gnb_1,7,25,simu5g
1.0,simu5g_00000293,21.9,gnb_2,7,25,simu5g
1.0,simu5g_00000294,22.0,gnb_1,7,25,simu5g
1.0,simu5g_00000295,22.0,gnb_2,7,25,simu5g
1.0,simu5g_00000296,22.1,gnb_1,7,25,simu5g
1.0,simu5g_00000297,22.1,gnb_2,7,25,simu5g
1.0,simu5g_00000298,22.2,gnb_1,7,25,simu5g
1.0,simu5g_00000299,22.2,gnb_2,7,25,simu5g
1.0,simu5g_00000300,22.3,gnb_1,7,25,simu5g
1.0,simu5g_00000301,22.3,gnb_2,7,25,simu5g
1.0,simu5g_00000302,22.4,gnb_1,7,25,simu5g
1.0,simu5g_00000303,22.4,gnb_2,7,25,simu5g
1.0,simu5g_00000304,22.5,gnb_1,7,25,simu5g
1.0,simu5g_00000305,22.5,gnb_2,7,25,simu5g
1.0,simu5g_00000306,22.6,gnb_1,7,25,simu5g
1.0,simu5g_00000307,22.6,gnb_2,7,25,simu5g
1.0,simu5g_00000308,22.7,gnb_1,7,25,simu5g
1.0,simu5g_00000309,22.7,gnb_2,7,25,simu5g
1.0,simu5g_00000310,22.8,gnb_1,7,25,simu5g
1.0,simu5g_00000311,22.8,gnb_2,7,25,simu5g
1.0,simu5g_00000312,22.9,gnb_1,7,25,simu5g
1.0,simu5g_00000313,22.9,gnb_2,7,25,simu5g
1.0,simu5g_00000314,23.0,gnb_1,7,25,simu5g
1.0,simu5g_00000315,23.0,gnb_2,7,25,simu5g
1.0,simu5g_00000316,23.1,gnb_1,7,25,simu5g
1.0,simu5g_00000317,23.1,gnb_2,7,25,simu5g
1.0,simu5g_00000318,23.2,gnb_1,7,25,simu5g
1.0,simu5g_00000319,23.2,gnb_2,7,25,simu5g
1.0,simu5g_00000320,23.3,gnb_1,7,25,simu5g
1.0,simu5g_00000321,23.3,gnb_2,7,25,simu5g
1.0,simu5g_00000322,23.4,gnb_1,7,25,simu5g
1.0,simu5g_00000323,23.4,gnb_2,7,25,simu5g
1.0,simu5g_00000324,23.5,gnb_1,7,25,simu5g
1.0,simu5g_00000325,23.5,gnb_2,7,25,simu5g
1.0,simu5g_00000326,23.6,gnb_1,7,25,simu5g
1.0,simu5g_00000327,23.6,gnb_2,7,25,simu5g
1.0,simu5g_00000328,23.7,gnb_1,7,25,simu5g
1.0,simu5g_00000329,23.7,gnb_2,7,25,simu5g
1.0,simu5g_00000330,23.8,gnb_1,7,25,simu5g
1.0,simu5g_00000331,23.8,gnb_2,7,25,simu5g
1.0,simu5g_00000332,23.9,gnb_1,7,25,simu5g
1.0,simu5g_00000333,23.9,gnb_2,7,25,simu5g
1.0,simu5g_00000334,24.0,gnb_1,7,25,simu5g
1.0,simu5g_00000335,24.0,gnb_2,7,25,simu5g
1.0,simu5g_00000336,24.1,gnb_1,7,25,simu5g
1.0,simu5g_00000337,24.1,gnb_2,7,25,simu5g
1.0,simu5g_00000338,24.2,gnb_1,7,25,simu5g
1.0,simu5g_00000339,24.2,gnb_2,7,25,simu5g
1.0,simu5g_00000340,24.3,gnb_1,7,25,simu5g
1.0,simu5g_00000341,24.3,gnb_2,7,25,simu5g
1.0,simu5g_00000342,24.4,gnb_1,7,25,simu5g
1.0,simu5g_00000343,24.4,gnb_2,7,25,simu5g
1.0,simu5g_00000344,24.5,gnb_1,7,25,simu5g
1.0,simu5g_00000345,24.5,gnb_2,7,25,simu5g
1.0,simu5g_00000346,24.6,gnb_1,7,25,simu5g
1.0,simu5g_00000347,24.6,gnb_2,7,25,simu5g
1.0,simu5g_00000348,24.7,gnb_1,7,25,simu5g
1.0,simu5g_00000349,24.7,gnb_2,7,25,simu5g
1.0,simu5g_00000350,24.8,gnb_1,7,25,simu5g
1.0,simu5g_00000351,24.8,gnb_2,7,25,simu5g
1.0,simu5g_00000352,24.9,gnb_1,7,25,simu5g
1.0,simu5g_00000353,24.9,gnb_2,7,25,simu5g
1.0,simu5g_00000354,25.0,gnb_1,7,25,simu5g
1.0,simu5g_00000355,25.0,gnb_2,7,25,simu5g
1.0,simu5g_00000356,25.1,gnb_1,7,25,simu5g
1.0,simu5g_00000357,25.1,gnb_2,7,25,simu5g
1.0,simu5g_00000358,25.2,gnb_1,7,25,simu5g
1.0,simu5g_00000359,25.2,gnb_2,7,25,simu5g
1.0,simu5g_00000360,25.3,gnb_1,7,25,simu5g
1.0,simu5g_00000361,25.3,gnb_2,7,25,simu5g
1.0,simu5g_00000362,25.4,gnb_1,7,25,simu5g
1.0,simu5g_00000363,25.4,gnb_2,7,25,simu5g
1.0,simu5g_00000364,25.5,gnb_1,7,25,simu5g
1.0,simu5g_00000365,25.5,gnb_2,7,25,simu5g
1.0,simu5g_00000366,25.6,gnb_1,7,25,simu5g
1.0,simu5g_00000367,25.6,gnb_2,7,25,simu5g
1.0,simu5g_00000368,25.7,gnb_1,7,25,simu5g
1.0,simu5g_00000369,25.7,gnb_2,7,25,simu5g
1.0,simu5g_00000370,25.8,gnb_1,7,25,simu5g
1.0,simu5g_00000371,25.8,gnb_2,7,25,simu5g
1.0,simu5g_00000372,25.9,gnb_1,7,25,simu5g
1.0,simu5g_00000373,25.9,gnb_2,7,25,simu5g
1.0,simu5g_00000374,26.0,gnb_1,7,25,simu5g
1.0,simu5g_00000375,26.0,gnb_2,7,25,simu5g
1.0,simu5g_00000376,26.1,gnb_1,7,25,simu5g
1.0,simu5g_00000377,26.1,gnb_2,7,25,simu5g
1.0,simu5g_00000378,26.2,gnb_1,7,25,simu5g
1.0,simu5g_00000379,26.2,gnb_2,7,25,simu5g
1.0,simu5g_00000380,26.3,gnb_1,7,25,simu5g
1.0,simu5g_00000381,26.3,gnb_2,7,25,simu5g
1.0,simu5g_00000382,26.4,gnb_1,7,25,simu5g
1.0,simu5g_00000383,26.4,gnb_2,7,25,simu5g
1.0,simu5g_00000384,26.5,gnb_1,7,25,simu5g
1.0,simu5g_00000385,26.5,gnb_2,7,25,simu5g
1.0,simu5g_00000386,26.6,gnb_1,7,25,simu5g
1.0,simu5g_00000387,26.6,gnb_2,7,25,simu5g
1.0,simu5g_00000388,26.7,gnb_1,7,25,simu5g
1.0,simu5g_00000389,26.7,gnb_2,7,25,simu5g
1.0,simu5g_00000390,26.8,gnb_1,7,25,simu5g
1.0,simu5g_00000391,26.8,gnb_2,7,25,simu5g
1.0,simu5g_00000392,26.9,gnb_1,7,25,simu5g
1.0,simu5g_00000393,26.9,gnb_2,7,25,simu5g
1.0,simu5g_00000394,27.0,gnb_1,7,25,simu5g
1.0,simu5g_00000395,27.0,gnb_2,7,25,simu5g
1.0,simu5g_00000396,27.1,gnb_1,7,25,simu5g
1.0,simu5g_00000397,27.1,gnb_2,7,25,simu5g
1.0,simu5g_00000398,27.2,gnb_1,7,25,simu5g
1.0,simu5g_00000399,27.2,gnb_2,7,25,simu5g
1.0,simu5g_00000400,27.3,gnb_1,7,25,simu5g
1.0,simu5g_00000401,27.3,gnb_2,7,25,simu5g
1.0,simu5g_00000402,27.4,gnb_1,7,25,simu5g
1.0,simu5g_00000403,27.4,gnb_2,7,25,simu5g
1.0,simu5g_00000404,27.5,gnb_1,7,25,simu5g
1.0,simu5g_00000405,27.5,gnb_2,7,25,simu5g
1.0,simu5g_00000406,27.6,gnb_1,7,25,simu5g
1.0,simu5g_00000407,27.6,gnb_2,7,25,simu5g
1.0,simu5g_00000408,27.7,gnb_1,7,25,simu5g
1.0,simu5g_00000409,27.7,gnb_2,7,25,simu5g
1.0,simu5g_00000410,27.8,gnb_1,7,25,simu5g
1.0,simu5g_00000411,27.8,gnb_2,7,25,simu5g
1.0,simu5g_00000412,27.9,gnb_1,7,25,simu5g
1.0,simu5g_00000413,27.9,gnb_2,7,25,simu5g
1.0,simu5g_00000414,28.0,gnb_1,7,25,simu5g
1.0,simu5g_00000415,28.0,gnb_2,7,25,simu5g
1.0,simu5g_00000416,28.1,gnb_1,7,25,simu5g
1.0,simu5g_00000417,28.1,gnb_2,7,25,simu5g
1.0,simu5g_00000418,28.2,gnb_1,7,25,simu5g
1.0,simu5g_00000419,28.2,gnb_2,7,25,simu5g
1.0,simu5g_00000420,28.3,gnb_1,7,25,simu5g
1.0,simu5g_00000421,28.3,gnb_2,7,25,simu5g
1.0,simu5g_00000422,28.4,gnb_1,7,25,simu5g
1.0,simu5g_00000423,28.4,gnb_2,7,25,simu5g
1.0,simu5g_00000424,28.5,gnb_1,7,25,simu5g
1.0,simu5g_00000425,28.5,gnb_2,7,25,simu5g
1.0,simu5g_00000426,28.6,gnb_1,7,25,simu5g
1.0,simu5g_00000427,28.6,gnb_2,7,25,simu5g
1.0,simu5g_00000428,28.7,gnb_1,7,25,simu5g
1.0,simu5g_00000429,28.7,gnb_2,7,25,simu5g
1.0,simu5g_00000430,28.8,gnb_1,7,25,simu5g
1.0,simu5g_00000431,28.8,gnb_2,7,25,simu5g
