scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000422,3,3,11.96,14.48,14.48,14.48,14.04,14,2,93.37293346050672,11.1878037599497,-0.022162187438860687,226.65,277.930651546932,,,,
simu5g_00000423,4,0,12.36,12.36,13.16,13.16,13.16,13,2,114.10431476308025,8.77099409817904,0.5750602757721578,226.65,345.61685871445,,,,
simu5g_00000423,5,1,12.96,12.52,12.52,12.52,12.52,13,2,145.58595218257236,4.62925051053497,0.767372157357731,226.65,391.71860620732,,,,
simu5g_00000423,6,2,14.84,14.84,14.84,14.84,14.84,15,2,161.51887163056367,1.57984838632193,0.8160714394017403,226.65,411.810938062099,,,,
simu5g_00000424,0,0,14.88,14.84,14.84,14.88,14.84,15,2,105.25149893539083,15.4962023900949,-0.567655519256873,226.65,60.2534057192665,,,,
simu5g_00000424,1,1,15.0,15.0,15.0,15.0,15.0,15,2,87.18272597215115,14.5451400421983,0.110379204931857,226.65,129.623159976598,,,,
simu5g_00000424,2,2,15.0,15.0,15.0,15.0,15.0,15,2,115.8381609627884,13.8652076168237,0.663668996976093,226.65,196.878196097729,,,,
simu5g_00000424,3,3,14.48,14.48,14.48,14.04,14.08,14,2,93.40441395565797,11.1844802724756,-0.0341289704127834,226.65,276.812203519684,,,,
simu5g_00000425,4,0,12.36,13.16,13.16,13.16,13.16,13,2,113.60153496316545,8.7825936300233,0.5698743364025763,226.65,344.738599351448,,,,
simu5g_00000425,5,1,12.52,12.52,12.52,12.52,12.52,13,2,145.22749579493845,4.67525156981311,0.7660469557873859,226.65,391.251081050338,,,,
simu5g_00000425,6,2,14.84,14.84,14.84,14.84,14.84,15,2,161.3876644974566,1.60811772969285,0.8157384686064636,226.65,411.650126289129,,,,
simu5g_00000426,0,0,14.84,14.84,14.88,14.84,14.72,15,2,106.13968843074805,15.5112965887354,-0.5775193506395239,226.65,58.702276060393,,,,
simu5g_00000426,1,1,15.0,15.0,15.0,15.0,15.0,15,2,87.03399325445957,14.5655224649846,0.09383239151422655,226.65,128.166607730099,,,,
