dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
high,9,0,Resource-cost k-means,0.30402002057449096,1153.3333333333333,1.0,1.4666666666666666,76.88888888888889
high,9,0,Multi-feature k-means,0.3480147178092907,1842.6666666666667,1.0,1.76,122.84444444444445
high,9,0,Offline teacher,0.43273313561769244,2122.6666666666665,1.0,2.06,141.51111111111112
high,9,1,No grouping,0.12611306645419182,550.0,1.0,1.0,36.666666666666664
high,9,1,CQI k-means,0.3182141655633044,2098.1666666666665,1.0,1.6633333333333333,139.87777777777777
high,9,1,Resource-cost k-means,0.26481071576730014,1071.0,1.0,1.34,71.4
high,9,1,Multi-feature k-means,0.3392007863871911,1439.0,1.0,1.6233333333333333,95.93333333333334
high,9,1,Offline teacher,0.41716499799925966,1726.0,1.0,1.8333333333333333,115.06666666666666
high,9,2,No grouping,0.12011306645419183,550.0,1.0,1.0,36.666666666666664
high,9,2,CQI k-means,0.3063137779632077,1144.6666666666667,1.0,1.4533333333333334,76.31111111111112
high,9,2,Resource-cost k-means,0.28867526215704964,1114.3333333333333,1.0,1.4066666666666667,74.28888888888889
high,9,2,Multi-feature k-means,0.3422095426951172,1814.6666666666667,1.0,1.73,120.97777777777777
high,9,2,Offline teacher,0.42417640836606535,1760.3333333333333,1.0,1.86,117.35555555555555
high,9,3,No grouping,0.1271130664541918,550.0,1.0,1.0,36.666666666666664
high,9,3,CQI k-means,0.3252846312795434,1740.0,1.0,1.65,116.0
high,9,3,Resource-cost k-means,0.2855961102678165,1097.0,1.0,1.38,73.13333333333334
high,9,3,Multi-feature k-means,0.3450522621015038,1805.3333333333333,1.0,1.72,120.35555555555555
high,9,3,Offline teacher,0.40306605077906715,1702.0,1.0,1.7833333333333334,113.46666666666667
high,9,4,No grouping,0.1317797331208585,550.0,1.0,1.0,36.666666666666664
high,9,4,CQI k-means,0.2988617167960247,1118.6666666666667,1.0,1.4133333333333333,74.57777777777778
high,9,4,Resource-cost k-means,0.2913023528790997,1105.6666666666667,1.0,1.3933333333333333,73.71111111111111
high,9,4,Multi-feature k-means,0.2642963000008889,1562.6666666666667,1.0,1.46,104.17777777777778
high,9,4,Offline teacher,0.39830045160951005,1682.6666666666667,1.0,1.7666666666666666,112.17777777777778
high,9,5,No grouping,0.13244639978752515,550.0,1.0,1.0,36.666666666666664
high,9,5,CQI k-means,0.29240965562884147,1092.6666666666667,1.0,1.3733333333333333,72.84444444444445
high,9,5,Resource-cost k-means,0.2319347442934425,988.6666666666666,1.0,1.2133333333333334,65.91111111111111
high,9,5,Multi-feature k-means,0.30135971986396964,1665.3333333333333,1.0,1.57,111.02222222222223
high,9,5,Offline teacher,0.37127559922349546,1568.0,1.0,1.66,104.53333333333333
high,9,6,No grouping,0.11611306645419181,550.0,1.0,1.0,36.666666666666664
high,9,6,CQI k-means,0.32835091823040496,2162.3333333333335,1.0,1.7266666666666666,144.15555555555557
high,9,6,Resource-cost k-means,0.2002011745211732,1250.0,0.92,1.7826086956521738,83.33333333333333
high,9,6,Multi-feature k-means,0.33440436758094366,1786.6666666666667,1.0,1.7,119.11111111111111
high,9,6,Offline teacher,0.4209399906005212,1738.3333333333333,1.0,1.8566666666666667,115.88888888888889
high,9,7,No grouping,0.11411306645419181,550.0,1.0,1.0,36.666666666666664
high,9,7,CQI k-means,0.3264043549365488,1201.0,1.0,1.54,80.06666666666666
high,9,7,Resource-cost k-means,0.25837007968422493,1084.0,1.0,1.36,72.26666666666667
high,9,7,Multi-feature k-means,0.33338559543483715,1805.3333333333333,1.0,1.72,120.35555555555555
high,9,7,Offline teacher,0.4305117733518023,1806.3333333333333,1.0,1.9133333333333333,120.42222222222222
high,9,8,No grouping,0.11711306645419181,550.0,1.0,1.0,36.666666666666664
high,9,8,CQI k-means,0.3457266372058258,1568.6666666666667,1.0,1.6566666666666667,104.57777777777778
high,9,8,Resource-cost k-means,0.2658898676565333,1088.3333333333333,1.0,1.3666666666666667,72.55555555555556
high,9,8,Multi-feature k-means,0.3217564730603835,1768.0,1.0,1.68,117.86666666666666
high,9,8,Offline teacher,0.4085576878908668,1736.6666666666667,1.0,1.8366666666666667,115.77777777777777
high,9,9,No grouping,0.11777973312085849,550.0,1.0,1.0,36.666666666666664
high,9,9,CQI k-means,0.35849223637538274,1588.0,1.0,1.6733333333333333,105.86666666666666
high,9,9,Resource-cost k-means,0.26314404910063344,1071.0,1.0,1.34,71.4
high,9,9,Multi-feature k-means,0.39953120730710495,1992.0,1.0,1.92,132.8
high,9,9,Offline teacher,0.4210493102853639,1766.6666666666667,1.0,1.8566666666666667,117.77777777777777
high,10,0,No grouping,0.11877973312085847,550.0,1.0,1.0,36.666666666666664
high,10,0,CQI k-means,0.3463423322783727,1530.3333333333333,1.0,1.65,102.02222222222223
high,10,0,Resource-cost k-means,0.26051695837858335,1079.6666666666667,1.0,1.3533333333333333,71.97777777777777
high,10,0,Multi-feature k-means,0.35315322625679757,1870.6666666666667,1.0,1.79,124.71111111111111
high,10,0,Offline teacher,0.43263685449740225,1758.6666666666667,1.0,1.8966666666666667,117.24444444444444
high,10,1,No grouping,0.11577973312085847,550.0,1.0,1.0,36.666666666666664
high,10,1,CQI k-means,0.3686870906958139,1569.3333333333333,1.0,1.71,104.62222222222222
high,10,1,Resource-cost k-means,0.2803419288237163,1114.3333333333333,1.0,1.4066666666666667,74.28888888888889
high,10,1,Multi-feature k-means,0.35199594566318415,1861.3333333333333,1.0,1.78,124.08888888888889
high,10,1,Offline teacher,0.4367143634715859,2141.3333333333335,1.0,2.08,142.75555555555556
high,10,2,No grouping,0.11911306645419183,550.0,1.0,1.0,36.666666666666664
high,10,2,CQI k-means,0.3568933112311436,1571.0,1.0,1.6733333333333333,104.73333333333333
high,10,2,Resource-cost k-means,0.34321559038722227,1148.0,1.0,1.56,76.53333333333333
high,10,2,Multi-feature k-means,0.3490147178092907,1842.6666666666667,1.0,1.76,122.84444444444445
high,10,2,Offline teacher,0.4197243619161846,1739.0,1.0,1.8533333333333333,115.93333333333334
high,10,3,No grouping,0.12644639978752512,550.0,1.0,1.0,36.666666666666664
high,10,3,CQI k-means,0.32506630913360707,1490.3333333333333,1.0,1.5666666666666667,99.35555555555555
high,10,3,Resource-cost k-means,0.3228541534373234,1094.3333333333333,1.0,1.4866666666666666,72.95555555555555
high,10,3,Multi-feature k-means,0.3571719984029041,1852.0,1.0,1.77,123.46666666666667
high,10,3,Offline teacher,0.40535042945338173,1705.0,1.0,1.7966666666666666,113.66666666666667
high,10,4,No grouping,0.11977973312085846,550.0,1.0,1.0,36.666666666666664
high,10,4,CQI k-means,0.34552877220004524,1530.0,1.0,1.6233333333333333,102.0
high,10,4,Resource-cost k-means,0.2538784425724253,1049.3333333333333,1.0,1.3066666666666666,69.95555555555555
high,10,4,Multi-feature k-means,0.3310898063937169,1768.0,1.0,1.68,117.86666666666666
high,10,4,Offline teacher,0.42542020262821284,1734.0,1.0,1.85,115.6
high,10,5,No grouping,0.1207797331208585,550.0,1.0,1.0,36.666666666666664
high,10,5,CQI k-means,0.32790767009293376,2188.0,1.0,1.72,145.86666666666667
high,10,5,Resource-cost k-means,0.3297406318078802,1128.0,1.0,1.52,75.2
high,10,5,Multi-feature k-means,0.3805687515993181,1954.6666666666667,1.0,1.88,130.3111111111111
high,10,5,Offline teacher,0.41965662039375706,1756.0,1.0,1.8533333333333333,117.06666666666666
high,10,6,No grouping,0.1321130664541918,550.0,1.0,1.0,36.666666666666664
high,10,6,CQI k-means,0.3116555089050898,1702.6666666666667,1.0,1.61,113.5111111111111
high,10,6,Resource-cost k-means,0.24642638140524223,1023.3333333333334,1.0,1.2666666666666666,68.22222222222223
high,10,6,Multi-feature k-means,0.32859919246677016,1758.6666666666667,1.0,1.67,117.24444444444444
high,10,6,Offline teacher,0.38810157813617907,1623.3333333333333,1.0,1.7233333333333334,108.22222222222223
high,10,7,No grouping,0.1221130664541918,550.0,1.0,1.0,36.666666666666664
