dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,3,1,CQI k-means,0.9388085379287436,7024.0,1.0,4.72,234.13333333333333
low,3,1,Resource-cost k-means,0.9306666666666669,7500.0,1.0,5.0,250.0
low,3,1,Multi-feature k-means,0.9446241602587983,6684.0,1.0,4.52,222.8
low,3,1,Offline teacher,0.9326524978640441,7228.0,1.0,4.84,240.93333333333334
low,3,2,No grouping,0.9420000000000001,7500.0,1.0,5.0,250.0
low,3,2,CQI k-means,0.9588653047571586,6514.0,1.0,4.42,217.13333333333333
low,3,2,Resource-cost k-means,0.942775416310674,7454.666666666667,1.0,4.973333333333334,248.48888888888888
low,3,2,Multi-feature k-means,0.9514988498057562,6944.666666666667,1.0,4.673333333333333,231.48888888888888
low,3,2,Offline teacher,0.9429692703883426,7443.333333333333,1.0,4.966666666666667,248.11111111111111
low,3,3,No grouping,0.9273333333333335,7500.0,1.0,5.0,250.0
low,3,3,CQI k-means,0.9368321831390897,6944.666666666667,1.0,4.673333333333333,231.48888888888888
low,3,3,Resource-cost k-means,0.9300472904206922,7341.333333333333,1.0,4.906666666666666,244.7111111111111
low,3,3,Multi-feature k-means,0.9345059342070677,7080.666666666667,1.0,4.753333333333333,236.0222222222222
low,3,3,Offline teacher,0.9304822889967216,7160.0,1.0,4.8,238.66666666666666
low,3,4,No grouping,0.9280000000000003,7500.0,1.0,5.0,250.0
low,3,4,CQI k-means,0.9382742661164302,6899.333333333333,1.0,4.6466666666666665,229.9777777777778
low,3,4,Resource-cost k-means,0.9311016652426959,7318.666666666667,1.0,4.8933333333333335,243.95555555555555
low,3,4,Multi-feature k-means,0.9411820772814574,6729.333333333333,1.0,4.546666666666667,224.3111111111111
low,3,4,Offline teacher,0.931489373398033,7296.0,1.0,4.88,243.2
low,3,5,No grouping,0.9346666666666668,7500.0,1.0,5.0,250.0
low,3,5,CQI k-means,0.9536643662781789,6389.333333333333,1.0,4.346666666666667,212.9777777777778
low,3,5,Resource-cost k-means,0.9356359370550092,7443.333333333333,1.0,4.966666666666667,248.11111111111111
low,3,5,Multi-feature k-means,0.9493995765694719,6638.666666666667,1.0,4.493333333333333,221.2888888888889
low,3,5,Offline teacher,0.9362411444983606,7330.0,1.0,4.9,244.33333333333334
low,3,6,No grouping,0.9306666666666669,7500.0,1.0,5.0,250.0
low,3,6,CQI k-means,0.9386146838510752,7035.333333333333,1.0,4.726666666666667,234.51111111111112
low,3,6,Resource-cost k-means,0.9318297911326777,7432.0,1.0,4.96,247.73333333333332
low,3,6,Multi-feature k-means,0.9440425980257927,6718.0,1.0,4.54,223.93333333333334
low,3,6,Offline teacher,0.9322174992880148,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,3,7,No grouping,0.9333333333333336,7500.0,1.0,5.0,250.0
