dispersion,load,seed,method,mean_utility,n_scenarios
low,heavy,seed_0003,CQI k-means,0.35593639169248764,5
low,heavy,seed_0003,CQI+cost 2-way union (paper method),0.35593639169248764,5
low,heavy,seed_0003,CQI+cost+switching 3-way union (former headline),0.35593639169248764,5
low,heavy,seed_0003,CQI+cost+regret-graph 3-way union,0.35593639169248764,5
low,heavy,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,5
low,heavy,seed_0004,CQI k-means,0.32057172664482847,5
low,heavy,seed_0004,CQI+cost 2-way union (paper method),0.34415670973402523,5
low,heavy,seed_0004,CQI+cost+switching 3-way union (former headline),0.34415670973402523,5
low,heavy,seed_0004,CQI+cost+regret-graph 3-way union,0.34415670973402523,5
low,heavy,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.34415670973402523,5
low,heavy,seed_0005,CQI k-means,0.33237702777556277,5
low,heavy,seed_0005,CQI+cost 2-way union (paper method),0.33237702777556277,5
low,heavy,seed_0005,CQI+cost+switching 3-way union (former headline),0.33237702777556277,5
low,heavy,seed_0005,CQI+cost+regret-graph 3-way union,0.33237702777556277,5
low,heavy,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.33237702777556277,5
low,heavy,seed_0006,CQI k-means,0.3088176638586379,5
low,heavy,seed_0006,CQI+cost 2-way union (paper method),0.32059734581710037,5
low,heavy,seed_0006,CQI+cost+switching 3-way union (former headline),0.32059734581710037,5
low,heavy,seed_0006,CQI+cost+regret-graph 3-way union,0.32059734581710037,5
low,heavy,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.32059734581710037,5
low,heavy,seed_0007,CQI k-means,0.21450335067412282,5
low,heavy,seed_0007,CQI+cost 2-way union (paper method),0.21450335067412282,5
low,heavy,seed_0007,CQI+cost+switching 3-way union (former headline),0.21450335067412282,5
low,heavy,seed_0007,CQI+cost+regret-graph 3-way union,0.21450335067412282,5
low,heavy,seed_0007,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.21450335067412282,5
low,heavy,seed_0008,CQI k-means,0.32057172664482847,5
low,heavy,seed_0008,CQI+cost 2-way union (paper method),0.33237702777556277,5
low,heavy,seed_0008,CQI+cost+switching 3-way union (former headline),0.33237702777556277,5
low,heavy,seed_0008,CQI+cost+regret-graph 3-way union,0.33237702777556277,5
low,heavy,seed_0008,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.33237702777556277,5
