timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.998,2051,1,5,15,1160,6
0.998,2052,1,0,15,1160,6
0.998,2052,1,1,15,1160,6
0.998,2052,1,2,15,1160,6
0.998,2052,1,3,13,984,6
0.998,2052,1,4,9,608,6
0.998,2052,1,5,13,984,6
0.998,2053,1,0,15,1160,6
0.998,2053,1,1,15,1160,6
0.998,2053,1,2,15,1160,6
0.998,2053,1,3,15,1160,6
0.998,2053,1,4,15,1160,6
0.998,2053,1,5,15,1160,6
1.004,2049,1,0,15,1160,6
1.004,2049,1,1,13,984,6
1.004,2049,1,2,15,1160,6
1.004,2049,1,3,14,1128,6
1.004,2049,1,4,15,1160,6
1.004,2049,1,5,15,1160,6
1.004,2050,1,0,15,1160,6
1.004,2050,1,1,15,1160,6
1.004,2050,1,2,15,1160,6
1.004,2050,1,3,15,1160,6
1.004,2050,1,4,15,1160,6
1.004,2050,1,5,15,1160,6
1.004,2051,1,0,15,1160,6
1.004,2051,1,1,13,984,6
1.004,2051,1,2,15,1160,6
1.004,2051,1,3,15,1160,6
1.004,2051,1,4,14,1128,6
1.004,2051,1,5,15,1160,6
1.004,2052,1,0,15,1160,6
1.004,2052,1,1,15,1160,6
1.004,2052,1,2,15,1160,6
1.004,2052,1,3,13,984,6
1.004,2052,1,4,9,608,6
1.004,2052,1,5,13,984,6
1.004,2053,1,0,15,1160,6
1.004,2053,1,1,15,1160,6
1.004,2053,1,2,15,1160,6
1.004,2053,1,3,15,1160,6
1.004,2053,1,4,15,1160,6
1.004,2053,1,5,15,1160,6
1.01,2049,1,0,15,1160,6
1.01,2049,1,1,13,984,6
1.01,2049,1,2,15,1160,6
1.01,2049,1,3,14,1128,6
1.01,2049,1,4,15,1160,6
1.01,2049,1,5,15,1160,6
1.01,2050,1,0,15,1160,6
1.01,2050,1,1,15,1160,6
1.01,2050,1,2,15,1160,6
1.01,2050,1,3,15,1160,6
1.01,2050,1,4,15,1160,6
1.01,2050,1,5,15,1160,6
1.01,2051,1,0,15,1160,6
1.01,2051,1,1,13,984,6
1.01,2051,1,2,15,1160,6
1.01,2051,1,3,15,1160,6
1.01,2051,1,4,14,1128,6
1.01,2051,1,5,15,1160,6
1.01,2052,1,0,15,1160,6
1.01,2052,1,1,15,1160,6
1.01,2052,1,2,15,1160,6
1.01,2052,1,3,13,984,6
1.01,2052,1,4,9,608,6
1.01,2052,1,5,13,984,6
1.01,2053,1,0,15,1160,6
1.01,2053,1,1,15,1160,6
1.01,2053,1,2,15,1160,6
1.01,2053,1,3,15,1160,6
1.01,2053,1,4,15,1160,6
1.01,2053,1,5,15,1160,6
1.016,2049,1,0,15,1160,6
1.016,2049,1,1,13,984,6
1.016,2049,1,2,15,1160,6
1.016,2049,1,3,14,1128,6
1.016,2049,1,4,15,1160,6
1.016,2049,1,5,15,1160,6
1.016,2050,1,0,15,1160,6
1.016,2050,1,1,15,1160,6
1.016,2050,1,2,15,1160,6
1.016,2050,1,3,15,1160,6
1.016,2050,1,4,15,1160,6
1.016,2050,1,5,15,1160,6
1.016,2051,1,0,15,1160,6
1.016,2051,1,1,13,984,6
1.016,2051,1,2,15,1160,6
1.016,2051,1,3,15,1160,6
1.016,2051,1,4,14,1128,6
1.016,2051,1,5,15,1160,6
1.016,2052,1,0,15,1160,6
1.016,2052,1,1,15,1160,6
1.016,2052,1,2,15,1160,6
1.016,2052,1,3,13,984,6
1.016,2052,1,4,9,608,6
1.016,2052,1,5,13,984,6
1.016,2053,1,0,15,1160,6
1.016,2053,1,1,15,1160,6
1.016,2053,1,2,15,1160,6
1.016,2053,1,3,15,1160,6
1.016,2053,1,4,15,1160,6
1.016,2053,1,5,15,1160,6
1.022,2049,1,0,15,1160,6
1.022,2049,1,1,13,984,6
1.022,2049,1,2,15,1160,6
1.022,2049,1,3,14,1128,6
1.022,2049,1,4,15,1160,6
1.022,2049,1,5,15,1160,6
1.022,2050,1,0,15,1160,6
1.022,2050,1,1,15,1160,6
1.022,2050,1,2,15,1160,6
1.022,2050,1,3,15,1160,6
1.022,2050,1,4,15,1160,6
1.022,2050,1,5,15,1160,6
1.022,2051,1,0,15,1160,6
1.022,2051,1,1,13,984,6
1.022,2051,1,2,15,1160,6
1.022,2051,1,3,15,1160,6
1.022,2051,1,4,14,1128,6
1.022,2051,1,5,15,1160,6
1.022,2052,1,0,15,1160,6
1.022,2052,1,1,15,1160,6
1.022,2052,1,2,15,1160,6
1.022,2052,1,3,13,984,6
1.022,2052,1,4,9,608,6
1.022,2052,1,5,13,984,6
1.022,2053,1,0,15,1160,6
1.022,2053,1,1,15,1160,6
1.022,2053,1,2,15,1160,6
1.022,2053,1,3,15,1160,6
1.022,2053,1,4,15,1160,6
1.022,2053,1,5,15,1160,6
1.028,2049,1,0,15,1160,6
1.028,2049,1,1,13,984,6
1.028,2049,1,2,15,1160,6
1.028,2049,1,3,14,1128,6
1.028,2049,1,4,15,1160,6
1.028,2049,1,5,15,1160,6
1.028,2050,1,0,15,1160,6
1.028,2050,1,1,15,1160,6
1.028,2050,1,2,15,1160,6
1.028,2050,1,3,15,1160,6
1.028,2050,1,4,15,1160,6
1.028,2050,1,5,15,1160,6
1.028,2051,1,0,15,1160,6
1.028,2051,1,1,13,984,6
1.028,2051,1,2,15,1160,6
1.028,2051,1,3,15,1160,6
1.028,2051,1,4,14,1128,6
1.028,2051,1,5,15,1160,6
1.028,2052,1,0,15,1160,6
