timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.764,2049,1,2,15,1160,6
0.764,2049,1,3,15,1160,6
0.764,2049,1,4,15,1160,6
0.764,2049,1,5,15,1160,6
0.77,2049,1,0,15,1160,6
0.77,2049,1,1,15,1160,6
0.77,2049,1,2,15,1160,6
0.77,2049,1,3,15,1160,6
0.77,2049,1,4,15,1160,6
0.77,2049,1,5,15,1160,6
0.776,2049,1,0,15,1160,6
0.776,2049,1,1,15,1160,6
0.776,2049,1,2,15,1160,6
0.776,2049,1,3,15,1160,6
0.776,2049,1,4,15,1160,6
0.776,2049,1,5,15,1160,6
0.782,2049,1,0,15,1160,6
0.782,2049,1,1,15,1160,6
0.782,2049,1,2,15,1160,6
0.782,2049,1,3,15,1160,6
0.782,2049,1,4,15,1160,6
0.782,2049,1,5,15,1160,6
0.788,2049,1,0,15,1160,6
0.788,2049,1,1,15,1160,6
0.788,2049,1,2,15,1160,6
0.788,2049,1,3,15,1160,6
0.788,2049,1,4,15,1160,6
0.788,2049,1,5,15,1160,6
0.794,2049,1,0,15,1160,6
0.794,2049,1,1,15,1160,6
0.794,2049,1,2,15,1160,6
0.794,2049,1,3,15,1160,6
0.794,2049,1,4,15,1160,6
0.794,2049,1,5,15,1160,6
0.8,2049,1,0,15,1160,6
0.8,2049,1,1,15,1160,6
0.8,2049,1,2,15,1160,6
0.8,2049,1,3,15,1160,6
0.8,2049,1,4,15,1160,6
0.8,2049,1,5,15,1160,6
0.806,2049,1,0,15,1160,6
0.806,2049,1,1,15,1160,6
0.806,2049,1,2,15,1160,6
0.806,2049,1,3,15,1160,6
0.806,2049,1,4,15,1160,6
0.806,2049,1,5,15,1160,6
0.812,2049,1,0,15,1160,6
0.812,2049,1,1,15,1160,6
0.812,2049,1,2,15,1160,6
0.812,2049,1,3,15,1160,6
0.812,2049,1,4,15,1160,6
0.812,2049,1,5,15,1160,6
0.818,2049,1,0,15,1160,6
0.818,2049,1,1,15,1160,6
0.818,2049,1,2,15,1160,6
0.818,2049,1,3,15,1160,6
0.818,2049,1,4,15,1160,6
0.818,2049,1,5,15,1160,6
0.824,2049,1,0,15,1160,6
0.824,2049,1,1,15,1160,6
0.824,2049,1,2,15,1160,6
0.824,2049,1,3,15,1160,6
0.824,2049,1,4,15,1160,6
