scenario_mode,load_level,seed,method,test_index,utility
aligned,light,9,LE-GRA[history_cost_utility],21,0.5714320815981498
aligned,light,9,LE-GRA[history_cost_utility],22,0.9033984263752282
aligned,light,9,LE-GRA[history_cost_utility],23,0.6438535050564668
aligned,light,9,LE-GRA[history_cost_utility],24,0.8820331903315125
aligned,light,9,LE-GRA[history_cost_utility],25,0.672158621526371
aligned,light,9,LE-GRA[history_cost_utility],26,0.9490839771438982
aligned,light,9,LE-GRA[history_cost_utility],27,0.7228324810007636
aligned,light,9,LE-GRA[history_cost_utility],28,0.9430260372167579
aligned,light,9,LE-GRA[history_cost_utility],29,0.9371158798542808
aligned,light,9,LE-GRA[full_utility],0,0.7020020605677568
aligned,light,9,LE-GRA[full_utility],1,0.8992317597085616
aligned,light,9,LE-GRA[full_utility],2,0.9579492131876141
aligned,light,9,LE-GRA[full_utility],3,0.7228324810007636
aligned,light,9,LE-GRA[full_utility],4,0.9520390558251369
aligned,light,9,LE-GRA[full_utility],5,0.6332564299182465
aligned,light,9,LE-GRA[full_utility],6,0.7124172707842602
aligned,light,9,LE-GRA[full_utility],7,0.9234042918688528
aligned,light,9,LE-GRA[full_utility],8,0.7605259975237865
aligned,light,9,LE-GRA[full_utility],9,0.7296158401613093
aligned,light,9,LE-GRA[full_utility],10,0.8962766810273228
aligned,light,9,LE-GRA[full_utility],11,0.6874172707842603
aligned,light,9,LE-GRA[full_utility],12,0.5274709999288
aligned,light,9,LE-GRA[full_utility],13,0.621063230358289
aligned,light,9,LE-GRA[full_utility],14,0.9527187411001826
aligned,light,9,LE-GRA[full_utility],15,0.6978353939010903
aligned,light,9,LE-GRA[full_utility],16,0.9437057224918036
aligned,light,9,LE-GRA[full_utility],17,0.7790781116502737
aligned,light,9,LE-GRA[full_utility],18,0.9402187411001824
aligned,light,9,LE-GRA[full_utility],19,0.9021868383898002
aligned,light,9,LE-GRA[full_utility],20,0.9348404864480878
aligned,light,9,LE-GRA[full_utility],21,0.537263662418944
aligned,light,9,LE-GRA[full_utility],22,0.8999114449836073
aligned,light,9,LE-GRA[full_utility],23,0.613475250404372
aligned,light,9,LE-GRA[full_utility],24,0.8820331903315125
aligned,light,9,LE-GRA[full_utility],25,0.6686716401347499
aligned,light,9,LE-GRA[full_utility],26,0.9478723891584702
aligned,light,9,LE-GRA[full_utility],27,0.7228324810007636
aligned,light,9,LE-GRA[full_utility],28,0.9490839771438985
aligned,light,9,LE-GRA[full_utility],29,0.9287825465209475
aligned,light,17,No grouping,0,0.6430175114173516
aligned,light,17,No grouping,1,0.8957447783169407
aligned,light,17,No grouping,2,0.879078111650274
aligned,light,17,No grouping,3,0.9416666666666665
aligned,light,17,No grouping,4,0.4684363916924877
aligned,light,17,No grouping,5,0.8957447783169407
aligned,light,17,No grouping,6,0.464269725025821
aligned,light,17,No grouping,7,0.47260305835915434
aligned,light,17,No grouping,8,0.9416666666666665
aligned,light,17,No grouping,9,0.4601030583591544
aligned,light,17,No grouping,10,0.4559363916924877
aligned,light,17,No grouping,11,0.9333333333333332
aligned,light,17,No grouping,12,0.8791666666666668
aligned,light,17,No grouping,13,0.638850844750685
aligned,light,17,No grouping,14,0.879078111650274
aligned,light,17,No grouping,15,0.6513508447506849
aligned,light,17,No grouping,16,0.8957447783169407
aligned,light,17,No grouping,17,0.4559363916924877
aligned,light,17,No grouping,18,0.9375
aligned,light,17,No grouping,19,0.9416666666666665
aligned,light,17,No grouping,20,0.9375
aligned,light,17,No grouping,21,0.9291666666666666
aligned,light,17,No grouping,22,0.9375
aligned,light,17,No grouping,23,0.44343639169248766
aligned,light,17,No grouping,24,0.8957447783169407
aligned,light,17,No grouping,25,0.9375
aligned,light,17,No grouping,26,0.8874114449836074
aligned,light,17,No grouping,27,0.8832447783169407
aligned,light,17,No grouping,28,0.8957447783169407
